condition,epoch,ratio
dual_csd,0,0.2076089678595598
dual_csd,1,6.434687665428388
dual_csd,2,0.4185308767503651
dual_csd,3,0.3961472478713715
dual_csd,4,0.1488897480778912
dual_csd,5,0.147414326878963
dual_csd,6,0.1313824475991133
dual_csd,7,0.1603394086532303
dual_csd,8,0.1060030888734755
dual_csd,9,0.1493914563369591
dual_csd,10,0.6187899804811786
dual_csd,11,0.1178250298432854
dual_csd,12,0.2059836294070505
dual_csd,13,1.0066679370209204
dual_csd,14,1.5867819923315296
dual_csd,15,0.2245824098057161
dual_csd,16,0.2410008381590901
dual_csd,17,0.1778541829809317
dual_csd,18,0.1703398697818466
