condition,QWK_mean,QWK_sd,n,MacroF1,SER,MAE,simplicity
dual_logitkd,0.5669620442699728,0.01616504099831925,5,0.3038757190414463,0.246,0.798,1
dual_featkd,0.5587714839752983,0.015308811747495415,5,0.31570604914478057,0.255,0.807,2
dual_no_distill,0.5514971494559888,0.022291699204304162,5,0.2919370606852073,0.24,0.799,0
dual_csd,0.5461027333018578,0.022290463377550956,5,0.26710541883629985,0.257,0.849,3
