,pred_0,pred_1,pred_2,pred_3,pred_4
true_0,0.8302,0.0491,0.0868,0.0226,0.0113
true_1,0.72,0.06,0.14,0.04,0.04
true_2,0.589,0.0753,0.1575,0.1301,0.0479
true_3,0.058,0.0435,0.1594,0.2899,0.4493
true_4,0.1,0.1,0.15,0.1,0.55
