,pred_0,pred_1,pred_2,pred_3,pred_4
true_0,0.8151,0.0642,0.0717,0.0453,0.0038
true_1,0.66,0.02,0.18,0.12,0.02
true_2,0.5274,0.0548,0.2192,0.1507,0.0479
true_3,0.087,0.0,0.1304,0.2899,0.4928
true_4,0.1,0.0,0.2,0.1,0.6
