,pred_0,pred_1,pred_2,pred_3,pred_4
true_0,0.8151,0.0453,0.1094,0.0264,0.0038
true_1,0.64,0.06,0.14,0.14,0.02
true_2,0.5479,0.089,0.137,0.1918,0.0342
true_3,0.058,0.0145,0.1594,0.3623,0.4058
true_4,0.05,0.1,0.2,0.15,0.5
