,pred_0,pred_1,pred_2,pred_3,pred_4
true_0,0.5887,0.0906,0.2189,0.083,0.0189
true_1,0.48,0.06,0.2,0.2,0.06
true_2,0.3288,0.1096,0.2603,0.2192,0.0822
true_3,0.0145,0.0,0.1304,0.2319,0.6232
true_4,0.05,0.0,0.15,0.15,0.65
