,pred_0,pred_1,pred_2,pred_3,pred_4
true_0,0.7887,0.0226,0.1509,0.034,0.0038
true_1,0.58,0.06,0.16,0.18,0.02
true_2,0.4452,0.0685,0.2123,0.2329,0.0411
true_3,0.029,0.0145,0.1014,0.3623,0.4928
true_4,0.05,0.0,0.15,0.2,0.6
