,pred_0,pred_1,pred_2,pred_3,pred_4
true_0,0.7849,0.034,0.1509,0.0264,0.0038
true_1,0.6,0.06,0.2,0.12,0.02
true_2,0.4726,0.0753,0.2192,0.2192,0.0137
true_3,0.029,0.029,0.1304,0.4058,0.4058
true_4,0.05,0.0,0.2,0.2,0.55
