,pred_0,pred_1,pred_2,pred_3,pred_4
true_0,0.8755,0.0491,0.0604,0.0113,0.0038
true_1,0.78,0.06,0.14,0.02,0.0
true_2,0.6096,0.0753,0.1712,0.137,0.0068
true_3,0.058,0.0145,0.1739,0.4348,0.3188
true_4,0.15,0.05,0.05,0.25,0.5
