,pred_0,pred_1,pred_2,pred_3,pred_4
true_0,0.766,0.0642,0.1019,0.0604,0.0075
true_1,0.66,0.04,0.12,0.14,0.04
true_2,0.4658,0.0479,0.1712,0.2329,0.0822
true_3,0.0145,0.029,0.029,0.3188,0.6087
true_4,0.05,0.0,0.2,0.05,0.7
