,pred_0,pred_1,pred_2,pred_3,pred_4
true_0,0.6868,0.1057,0.1925,0.0113,0.0038
true_1,0.6,0.08,0.24,0.06,0.02
true_2,0.4041,0.1301,0.3219,0.1301,0.0137
true_3,0.0435,0.058,0.3623,0.2609,0.2754
true_4,0.1,0.0,0.3,0.2,0.4
