,pred_0,pred_1,pred_2,pred_3,pred_4
true_0,0.7396,0.0906,0.1472,0.0189,0.0038
true_1,0.58,0.1,0.24,0.06,0.02
true_2,0.5753,0.0822,0.2466,0.0753,0.0205
true_3,0.1014,0.029,0.2609,0.2464,0.3623
true_4,0.15,0.05,0.15,0.3,0.35
