,pred_0,pred_1,pred_2,pred_3,pred_4
true_0,0.8038,0.034,0.1358,0.0226,0.0038
true_1,0.68,0.06,0.14,0.1,0.02
true_2,0.4795,0.0753,0.2192,0.1781,0.0479
true_3,0.029,0.0145,0.1884,0.3478,0.4203
true_4,0.05,0.05,0.2,0.15,0.55
