delta_L1
0.2711086
0.3466419
0.37068892
0.19435313
0.33312652
0.10292727
0.61636794
0.664272
0.6120815
0.46562225
0.40989977
0.61582035
0.24516323
0.9870336
0.14150637
0.081572294
0.29966742
0.24458846
0.1352933
0.40833366
0.37553847
0.038591057
0.47495836
0.44240236
1.0236964
0.02049586
0.33193797
0.41212982
0.10107038
0.28461885
0.07204956
0.2841668
0.124768265
0.080935925
0.42806375
0.18570691
0.5893413
0.43448573
0.25417924
0.084428266
0.2721341
0.1616761
0.035619244
0.4145574
0.85362923
0.4629074
0.66892046
0.27161676
0.42279494
0.6777049
1.0071111
0.8568042
0.05778391
0.097928315
0.24019362
1.0254296
0.38446087
0.8500712
0.7475466
0.5781735
0.038449585
0.23838592
1.2690812
0.58100146
0.38035363
0.067617595
0.28729796
0.20454001
1.5693285
0.43552208
0.8368691
1.1603669
0.245206
0.031212725
0.40329945
0.06634657
0.04992209
0.7008947
0.18112478
0.06059652
0.98449224
0.20028108
0.54177785
0.26858366
0.16067626
1.2251422
0.4529455
0.16169631
0.06794983
0.5095805
0.6626084
0.039176702
0.3497404
0.4729138
0.35966456
0.104450166
0.5754015
0.64806426
0.5420792
0.5121614
0.585555
0.81086624
0.8096739
0.5219684
0.29561576
0.45967597
0.24642538
0.5609115
0.3938865
0.11845482
0.22371335
0.5782529
0.526811
0.018822428
0.40334272
0.1321754
0.82554454
0.5477532
0.79104286
0.19493107
0.12603587
0.11469273
0.31734377
0.9097838
0.005281806
0.011267893
0.5654246
0.51179403
1.027462
0.884114
0.7098291
0.06937249
0.741043
0.5227666
0.39115566
0.16163588
1.068516
1.4202945
0.54002726
0.20621127
0.4255454
0.45036578
0.7752017
0.93359125
0.17037931
0.23651731
0.3894752
0.8221092
0.074472964
0.6164285
0.17341936
0.16636673
0.92390966
0.28134817
0.50607806
0.06505861
0.19378155
0.4426703
0.81536716
0.11351227
0.51585793
0.20105559
1.3735597
0.201327
0.4246843
0.059609696
0.1815433
0.30637807
0.16012293
0.12724268
0.41107407
0.16283196
0.72182953
0.24944718
0.1527667
0.021600366
0.33187646
0.7454493
0.25089404
0.13356596
0.12200942
0.2980526
0.9911991
1.0412902
0.4900427
0.1710011
0.6937072
0.028092999
0.036206227
1.0443
0.22372395
1.1140187
0.6131847
0.37232587
0.4249395
0.8614516
0.3481865
0.4128475
0.25847524
0.10599685
