,pred_0,pred_1,pred_2,pred_3,pred_4
true_0,0.8566,0.0302,0.0906,0.0151,0.0075
true_1,0.66,0.04,0.2,0.1,0.0
true_2,0.5548,0.0822,0.1918,0.137,0.0342
true_3,0.058,0.029,0.1014,0.3623,0.4493
true_4,0.05,0.05,0.15,0.15,0.6
