,pred_0,pred_1,pred_2,pred_3,pred_4
true_0,0.7321,0.083,0.117,0.0566,0.0113
true_1,0.56,0.06,0.14,0.2,0.04
true_2,0.4247,0.0685,0.2397,0.1712,0.0959
true_3,0.029,0.0,0.1304,0.2174,0.6232
true_4,0.05,0.05,0.1,0.15,0.65
