lr,n_seeds,val_QWK_mean,val_QWK_sd
1e-05,3,0.5640497954817421,0.02954261351031557
3e-05,3,0.5569173882198505,0.020238063700372014
0.0001,3,0.5511354865305219,0.010090122884272548
