epoch,train_total_loss,L_task,val_QWK,learning_rate
0,0.4153354778561903,0.4153354778561903,0.7996245893946504,9.939672868916175e-05
1,0.2829978234418061,0.2829978234418061,0.8426679115364416,9.760176929846253e-05
2,0.24850473326185477,0.24850473326185477,0.8610954677897211,9.465931968523002e-05
3,0.23130792687120644,0.23130792687120644,0.8568774341078809,9.064183272437242e-05
4,0.20632212212228257,0.20632212212228257,0.8546195816547502,8.564823227814082e-05
5,0.20108613501424374,0.20108613501424374,0.8687406542908203,7.980147736233117e-05
6,0.19184190261623132,0.19184190261623132,0.8469858011223763,7.324553448723777e-05
7,0.18793584179619086,0.18793584179619086,0.8688048025336201,6.614183272437241e-05
8,0.18225450182090636,0.18225450182090636,0.8794560440989105,5.866528878697131e-05
9,0.1766659981854584,0.1766659981854584,0.8612585291887794,5.099999999999999e-05
10,0.17251917655053345,0.17251917655053345,0.8688040814285,4.333471121302869e-05
11,0.1702189818834481,0.1702189818834481,0.8842943854324734,3.5858167275627575e-05
12,0.1688082678972379,0.1688082678972379,0.88531009712011,2.8754465512762204e-05
13,0.16945140857411467,0.16945140857411467,0.8683569544530965,2.219852263766882e-05
14,0.16628840792438257,0.16628840792438257,0.8810622701582052,1.6351767721859172e-05
15,0.16804199973526207,0.16804199973526207,0.8707786289627313,1.135816727562758e-05
16,0.16556014039594194,0.16556014039594194,0.8747216311179294,7.340680314769978e-06
17,0.16464464058694633,0.16464464058694633,0.8722364440307191,4.398230701537477e-06
