L_task,L_total,epoch,val_QWK,learning_rate
0.6548466014862061,0.6548466014862061,0,0.30779620319651824,0.0009984894935292329
0.5870524895191193,0.5870524895191193,1,0.4242752641560552,0.0009939672868916176
0.5793737596273423,0.5793737596273423,2,0.35350160851274437,0.0009864612609948615
0.5490960919857025,0.5490960919857025,3,0.457177322074789,0.0009760176929846252
0.5455346912145614,0.5455346912145614,4,0.5027507405840035,0.0009627009709305305
0.5442085587978363,0.5442085587978363,5,0.4838689311193889,0.0009465931968523002
0.496439254283905,0.496439254283905,6,0.39670994493916123,0.0009277936805335052
0.5147652745246887,0.5147652745246887,7,0.45489658609519057,0.0009064183272437243
0.5108523613214493,0.5108523613214493,8,0.44395438220654015,0.0008825989231440152
0.4967164522409439,0.4967164522409439,9,0.48685054522129567,0.0008564823227814083
0.4763376206159592,0.4763376206159592,10,0.4287959381044487,0.0008282295436817901
0.4726273381710053,0.4726273381710053,11,0.3743427970557307,0.0007980147736233119
0.45142615437507627,0.45142615437507627,12,0.30306860473281383,0.0007660242967108149
