L_task,L_total,epoch,val_QWK,learning_rate
0.6513973635435104,0.6513973635435104,0,0.27165808286570836,0.0009984894935292329
0.5905027186870575,0.5905027186870575,1,0.3116328708644611,0.0009939672868916176
0.5656506824493408,0.5656506824493408,2,0.43065593890631393,0.0009864612609948615
0.5711160212755203,0.5711160212755203,3,0.3690022347837517,0.0009760176929846252
0.557241033911705,0.557241033911705,4,0.2846411254524347,0.0009627009709305305
0.5287503027915954,0.5287503027915954,5,0.4523314159833558,0.0009465931968523002
0.5203106868267059,0.5203106868267059,6,0.43018637335777565,0.0009277936805335052
0.48983996868133545,0.48983996868133545,7,0.39869281045751637,0.0009064183272437243
0.4992238461971283,0.4992238461971283,8,0.38347107438016526,0.0008825989231440152
0.48679801523685456,0.48679801523685456,9,0.40643349502170034,0.0008564823227814083
0.46943298876285555,0.46943298876285555,10,0.45597982286351113,0.0008282295436817901
0.461888011097908,0.461888011097908,11,0.4425165477797057,0.0007980147736233119
0.44529447257518767,0.44529447257518767,12,0.42375383217894846,0.0007660242967108149
0.4469016146659851,0.4469016146659851,13,0.40186604465178277,0.0007324553448723779
0.4290952205657959,0.4290952205657959,14,0.4443794595859164,0.000697514881858894
0.416416212618351,0.416416212618351,15,0.321173889193637,0.0006614183272437242
0.3968848496675491,0.3968848496675491,16,0.3936137549892539,0.0006243882282893936
0.4131887537240982,0.4131887537240982,17,0.2769500438212096,0.0005866528878697131
0.3968384736776352,0.3968384736776352,18,0.3666687725061595,0.000548444956906644
