L_task,L_aux,L_logit_KD,L_total,weighted_aux,weighted_logit_KD,epoch,val_QWK,learning_rate,gnorm_task,gnorm_aux,gnorm_logit_kd,ratio_aux_over_task,ratio_logit_kd_over_task
0.7145059758424759,1.3571872222423553,0.6724841213226318,1.7293416523933411,0.6785936111211777,0.3362420606613159,0,0.3254757171258166,0.0009984894935292329,3.413419726111146,0.25917462892389675,0.127404829315595,0.07592814529702452,0.03732468888634017
0.5878447836637497,1.2215656197071076,0.6631731379032135,1.5302141571044923,0.6107828098535538,0.33158656895160676,1,0.4796053423174107,0.0009939672868916176,3.1137750554747314,1.173235701311684,0.08952643007236745,0.37678884325599127,0.02875173333891266
0.5564154118299485,1.1620616614818573,0.6603301060199738,1.4676112866401672,0.5810308307409286,0.3301650530099869,2,0.4558842695164864,0.0009864612609948615,2.0461606806380646,1.4075240199678265,0.0544619711156655,0.687885381283405,0.02661666389693421
0.5417156904935837,1.12823255777359,0.6597653186321258,1.4357146310806275,0.564116278886795,0.3298826593160629,3,0.4934742075823493,0.0009760176929846252,3.400329007977433,2.5149793398727867,0.07669485212910274,0.7396282342009999,0.0225551268565985
0.5439824384450912,1.1269792652130126,0.660108003616333,1.437526078224182,0.5634896326065063,0.3300540018081665,4,0.47017028053411736,0.0009627009709305305,5.269610906617279,2.9568276621852756,0.10347691392316843,0.5611092952749621,0.019636537831138154
0.5098240953683854,1.0935981059074402,0.6578505551815033,1.3855484175682067,0.5467990529537201,0.32892527759075163,5,0.4984520123839009,0.0009465931968523002,1.8895176129367888,1.556799301508047,0.0675839024058863,0.8239136226353491,0.03576780758388581
0.513431825041771,1.0897730851173402,0.6591311085224152,1.3878839278221131,0.5448865425586701,0.3295655542612076,6,0.4872722885752201,0.0009277936805335052,2.228714095880201,1.8478296179852487,0.059557857204550146,0.8291012388717687,0.026722968780357875
0.5094962671399117,1.0730153501033783,0.6591256511211395,1.3755667686462403,0.5365076750516892,0.32956282556056976,7,0.5195009553782174,0.0009064183272437243,1.7175643697204497,1.8411495770027315,0.06367901746222392,1.0719537558306456,0.03707518541071523
0.483276743888855,1.0559196078777313,0.6570949816703796,1.339784038066864,0.5279598039388657,0.3285474908351898,8,0.4261255548509828,0.0008825989231440152,3.751041704975405,3.410326060630552,0.0906551962594237,0.9091677269562412,0.02416800542078167
0.46621902704238893,1.0348191452026367,0.658238126039505,1.3127476704120635,0.5174095726013184,0.3291190630197525,9,0.43752836672502105,0.0008564823227814083,2.347910963794059,2.150114971733219,0.07576653090301655,0.9157566044407343,0.0322697632369258
0.45078293919563295,1.0008146226406098,0.655613112449646,1.278996797800064,0.5004073113203049,0.327806556224823,10,0.48933854133316257,0.0008282295436817901,2.2834865511787985,1.95064151111171,0.09397443751868524,0.854238230614818,0.04115392642456031
0.45712352156639097,1.0005648970603942,0.6561503314971924,1.285481127500534,0.5002824485301971,0.3280751657485962,11,0.5236782454205722,0.0007980147736233119,5.943763606585075,4.138986758469427,0.14213565066568165,0.6963579025726827,0.023913409091204443
0.43409363090991976,0.9553083789348602,0.656317012310028,1.239906325340271,0.4776541894674301,0.328158506155014,12,0.5294749335895552,0.0007660242967108149,1.4994422495413025,1.6094297427787316,0.07283974634069972,1.073352270333236,0.048577893788828666
0.4306264236569405,0.9614876925945282,0.6567028927803039,1.2397217071056366,0.4807438462972641,0.32835144639015196,13,0.2836965294592414,0.0007324553448723779,2.0718312646986474,1.2896513786584856,0.07633508284967977,0.6224693104272023,0.03684425664885547
0.41337231040000916,0.9231574153900146,0.6558906471729279,1.2028963375091553,0.4615787076950073,0.32794532358646394,14,0.4760524249562118,0.000697514881858894,2.3290080270018523,2.074300687729418,0.11037345389716725,0.8906369852231377,0.047390757188266006
0.3958169856667519,0.904044599533081,0.6563214552402497,1.176000018119812,0.4520222997665405,0.3281607276201248,15,0.5446945721621782,0.0006614183272437242,6.299497141847004,5.0634317468724,0.18698795861908823,0.8037834818967484,0.029682997612133787
0.38509088337421415,0.8838337767124176,0.6555021274089813,1.1547588360309602,0.4419168883562088,0.32775106370449064,16,0.48718729076632794,0.0006243882282893936,2.4007335559988427,1.7652772787722184,0.10608513500705216,0.735307453990979,0.04418863340414079
0.3864874517917633,0.8927733957767486,0.6568258500099182,1.1612870764732361,0.4463866978883743,0.3284129250049591,17,0.38140464883779057,0.0005866528878697131,3.1134639020685504,2.3559271979549905,0.1001566763433688,0.7566900635622398,0.0321688895370927
0.373925179541111,0.8697015869617463,0.6569302761554718,1.1372411167621612,0.43485079348087313,0.3284651380777359,18,0.4661811898296716,0.000548444956906644,1.7549422072444425,1.9278654343864572,0.05435870348396472,1.0985349981487615,0.03097464022437361
0.35421976149082185,0.8327980118989945,0.6554059159755706,1.0983217215538026,0.41639900594949725,0.3277029579877853,19,0.5049504950495048,0.0005099999999999999,2.2605263197449044,2.008315213191836,0.0889395649124887,0.8884281486350798,0.039344627017006084
0.35340595364570615,0.8210776650905609,0.6562190997600555,1.0920543384552002,0.41053883254528045,0.3281095498800278,20,0.4942196531791908,0.00047155504309335594,2.8827651074500107,3.1882019160944535,0.0743257684389114,1.1059527215225042,0.025782804241257545
0.34718409180641174,0.8118288958072662,0.6559097528457641,1.081053422689438,0.4059144479036331,0.32795487642288207,21,0.4957632175677288,0.00043334711213028693,2.5705896911870836,1.788267830480245,0.1307308405482336,0.6956644370788063,0.05085636225665515
0.32749235689640044,0.7926775598526001,0.657146954536438,1.0524046099185944,0.39633877992630007,0.328573477268219,22,0.4622509292547682,0.0003956117717106063,2.2591888146130725,2.0995634356746593,0.11538310193588151,0.9293439406631658,0.05107280152484421
0.3455775812268257,0.8075435829162597,0.6562870836257935,1.0774929010868073,0.40377179145812986,0.32814354181289673,23,0.5101137800252845,0.0003585816727562757,2.2969145259747523,2.700359402353467,0.04953938140449257,1.1756464473607275,0.021567794902367696
