epoch,val_QWK,val_QWK_fakequant,train_total_loss,learning_rate
0,0.5706926159129937,0.5706926159129937,0.9319320380687713,1e-05
1,0.5680561099389861,0.5680561099389861,0.9038008868694305,1e-05
2,0.5647582624579028,0.5647582624579028,0.9335472953319549,1e-05
3,0.5569257241181532,0.5569257241181532,0.9037972009181976,1e-05
4,0.5731742134414435,0.5731742134414435,0.9192581415176392,1e-05
5,0.5916777284007617,0.5916777284007617,0.9129792952537537,1e-05
6,0.5671694348259875,0.5671694348259875,0.9028722679615021,1e-05
7,0.5654189361455557,0.5654189361455557,0.9087866449356079,1e-05
8,0.5736522833924689,0.5736522833924689,0.9058436167240143,1e-05
9,0.5619651900576285,0.5619651900576285,0.9156112551689148,1e-05
