L_task,L_aux,L_logit_KD,L_feat_KD,L_total,weighted_aux,weighted_logit_KD,weighted_feat_KD,epoch,val_QWK,learning_rate,gnorm_task,gnorm_aux,gnorm_logit_kd,gnorm_feat_kd,ratio_aux_over_task,ratio_logit_kd_over_task,ratio_feat_kd_over_task
0.6467909401655197,1.3255346071720124,0.6192317879199982,0.42905948966741564,2.4772931146621704,0.6627673035860062,0.3096158939599991,0.8581189793348313,0,0.49316809659993655,0.0009984894935292329,2.830040257227212,0.34201401803996323,0.28194932806862466,0.5664206580611036,0.12085129077812422,0.09962732061800071,0.20014579531673007
0.5751269674301147,1.1989812409877778,0.5998727822303772,0.26979198843240737,2.014137966632843,0.5994906204938889,0.2999363911151886,0.5395839768648147,1,0.44215142525474016,0.0009939672868916176,2.468511301845743,1.2522881439305038,0.2985866509142271,2.776358843295565,0.5073050072706369,0.12095818669777585,1.1247097962321015
0.5478557449579239,1.1415221273899079,0.5916759741306304,0.24141036868095397,1.8972755193710327,0.5707610636949539,0.2958379870653152,0.48282073736190795,2,0.5041882237004189,0.0009864612609948615,2.010573138326439,1.5620306137282112,0.22811503487284732,2.882270874703547,0.7769081283103256,0.11345771537698236,1.4335568399678769
0.5407434713840484,1.1312884414196014,0.5938576126098633,0.23708737134933472,1.8774912333488465,0.5656442207098007,0.2969288063049316,0.47417474269866944,3,0.46888277930517364,0.0009760176929846252,1.0537033372550269,0.9029085846734142,0.1720548163590859,2.6984264740410735,0.8568906947049785,0.16328582275092826,2.560897720102765
0.5303554511070252,1.1161166071891784,0.5869312167167664,0.20182674154639244,1.785532820224762,0.5580583035945892,0.2934656083583832,0.40365348309278487,4,0.5372460496613995,0.0009627009709305305,2.0955911843803414,1.6298150312340374,0.24371162852337308,3.7314208081554328,0.7777352011126959,0.11629731521104757,1.7806053184265518
0.5209072613716126,1.098818176984787,0.5900669133663178,0.1864631539583206,1.7382761120796204,0.5494090884923934,0.2950334566831589,0.3729263079166412,5,0.5083917835671343,0.0009465931968523002,3.1378423338861747,1.8823965910772396,0.31248507783431123,2.8718456799562917,0.5999015854776607,0.09958597169135096,0.9152294393324569
0.4962597131729126,1.050210384130478,0.5827788138389587,0.1821164946258068,1.6769873118400573,0.525105192065239,0.29138940691947934,0.3642329892516136,6,0.44068013295832265,0.0009277936805335052,2.309715542920649,3.4707087911890406,0.20405179632935594,2.3765967905578576,1.502656377676841,0.08834498990786165,1.0289564868029752
0.5003803968429565,1.069580191373825,0.5822112655639649,0.17782860308885573,1.6819333362579345,0.5347900956869125,0.2911056327819824,0.35565720617771146,7,0.4976359338061467,0.0009064183272437243,1.8595421671375443,1.5699672192778562,0.2549342259440683,2.964975714826378,0.8442762132652036,0.13709515731847968,1.5944654373664808
0.48481728255748746,1.0327635025978088,0.5788271772861481,0.17321460977196693,1.6370418357849121,0.5163817512989044,0.28941358864307404,0.34642921954393385,8,0.5121047430830039,0.0008825989231440152,1.9693235238404618,2.519166852289096,0.2642960880863874,2.3914843886262545,1.279204164167176,0.13420653584179623,1.2143684669761718
0.47333988308906555,1.0245843613147736,0.5813160932064056,0.17235296010971068,1.6209960341453553,0.5122921806573868,0.2906580466032028,0.34470592021942137,9,0.5178664504546244,0.0008564823227814083,1.874578752742002,1.9261250528196703,0.26871654993472344,4.207884984735927,1.0274975377813655,0.14334769853849233,2.2447096333407863
0.4534718972444534,0.9962893724441528,0.5775604617595672,0.16074733793735504,1.5618914723396302,0.4981446862220764,0.2887802308797836,0.3214946758747101,10,0.5931584191298571,0.0008282295436817901,2.413341996010354,1.411465251425998,0.179122131033997,2.45654263098986,0.5848591926711503,0.07422161108127855,1.0179007513443696
0.44259418070316314,0.9811754131317139,0.5771596693992614,0.1636885617673397,1.5491388463973998,0.49058770656585693,0.2885798346996307,0.3273771235346794,11,0.5414218918594893,0.0007980147736233119,2.0291079279909883,1.8483906907822982,0.11628353758630525,3.0020145240656055,0.9109375924682245,0.05730771438138193,1.4794750356319826
0.4321625852584839,0.9634549176692963,0.5739688372612,0.1623557038605213,1.525585868358612,0.4817274588346481,0.2869844186306,0.3247114077210426,12,0.3358788590823054,0.0007660242967108149,0.8333821389964181,0.9418075442485069,0.14707114342378966,1.7941846563999146,1.1301028665944985,0.1764750365311366,2.152895499489012
0.45096823751926424,0.9872157287597656,0.5775379610061645,0.16437956422567368,1.5621042037010193,0.4936078643798828,0.28876898050308225,0.32875912845134736,13,0.5822546481525065,0.0007324553448723779,2.76416126324112,1.927758475748832,0.30455155161289166,2.240451965305182,0.6974117253522455,0.11017864828037906,0.8105359101509649
0.41567590534687043,0.9313791930675507,0.5732039749622345,0.15773480013012886,1.4834370994567871,0.46568959653377534,0.28660198748111726,0.3154696002602577,14,0.58523875358928,0.000697514881858894,1.667310591603535,1.25866744533162,0.23494982122711908,4.321990070435192,0.7549088044364292,0.14091544935317435,2.5921925358121314
0.4431063437461853,0.9821656787395477,0.575452766418457,0.15660498559474945,1.5351255464553832,0.49108283936977387,0.2877263832092285,0.3132099711894989,15,0.549375207342696,0.0006614183272437242,1.806280640889229,1.7644200704961557,0.1812997938452431,2.8350254357994547,0.9768249908428043,0.10037188559801512,1.5695376297693011
