epoch,val_QWK,val_QWK_fakequant,train_total_loss,learning_rate
0,0.5595649464680224,0.5595649464680224,0.9403309547901153,1e-05
1,0.5601508054381354,0.5601508054381354,0.9255278301239014,1e-05
2,0.5624571036376115,0.5624571036376115,0.9265217101573944,1e-05
3,0.5660654718154576,0.5660654718154576,0.9162144458293915,1e-05
4,0.5639201285288042,0.5639201285288042,0.9061169922351837,1e-05
5,0.583837336558954,0.583837336558954,0.905614424943924,1e-05
6,0.5676261945242422,0.5676261945242422,0.9325874018669128,1e-05
7,0.5689902056246062,0.5689902056246062,0.9120797157287598,1e-05
8,0.574216106474171,0.574216106474171,0.9218071281909943,1e-05
9,0.5686937582392388,0.5686937582392388,0.9350488841533661,1e-05
