epoch,val_QWK,val_QWK_fakequant,train_total_loss,learning_rate
0,0.4917806500188229,0.5028585632612479,0.9627022850513458,0.0001
1,0.5184094256259204,0.533789050788511,0.9360045230388642,0.0001
2,0.5149386977740745,0.5282479414455626,0.9358771932125092,0.0001
3,0.5227162880618657,0.5415349238286864,0.9087686908245086,0.0001
4,0.5057539097078785,0.536152376255933,0.9234330940246582,0.0001
5,0.5523255813953488,0.5425188374596339,0.9490634524822235,0.0001
6,0.5554685752628047,0.5169491525423728,0.9349778652191162,0.0001
7,0.5469906193555905,0.5197870863226105,0.9311397147178649,0.0001
8,0.48861999423797176,0.5193441849492805,0.9058067393302918,0.0001
9,0.5170302561968734,0.5062136038902563,0.9010819375514985,0.0001
