epoch,train_total_loss,L_task,val_QWK,learning_rate
0,0.5405122304092282,0.5405122304092282,0.7158838636660427,0.000997315728730454
1,0.4729616567492485,0.4729616567492485,0.7042945596368684,0.0009892923243595647
2,0.4500702778282373,0.4500702778282373,0.7555394679008196,0.0009760176929846252
3,0.44102177315432095,0.44102177315432095,0.7405199054717324,0.0009576372742448742
4,0.4318499804838844,0.4318499804838844,0.7310655853742392,0.000934352447854375
5,0.42570875066777936,0.42570875066777936,0.7562947133698783,0.0009064183272437242
6,0.4056229264191959,0.4056229264191959,0.7683795609879579,0.0008741409644839231
7,0.3919781475611355,0.3919781475611355,0.7513525531757207,0.0008378739971158405
8,0.3820439390838146,0.3820439390838146,0.7760596284347536,0.0007980147736233118
9,0.36429351487237477,0.36429351487237477,0.7368808141846227,0.0007549999999999999
10,0.36041874940628593,0.36041874940628593,0.791468386920919,0.0007093009551071421
11,0.3540856423585311,0.3540856423585311,0.7800975154312983,0.0006614183272437242
12,0.34168167606644007,0.34168167606644007,0.7840129443037709,0.000611876728500702
13,0.3265773038501325,0.3265773038501325,0.776311856029655,0.0005612189470011502
14,0.3266710261611835,0.3266710261611835,0.7766587204726655,0.00051
15,0.3218094243303589,0.3218094243303589,0.7706937862733614,0.00045878105299884973
16,0.3161619832010373,0.3161619832010373,0.8109436785294432,0.00040812327149929774
17,0.30136746168136597,0.30136746168136597,0.8207066162797673,0.00035858167275627567
18,0.29420490676294203,0.29420490676294203,0.7982343422806015,0.0003106990448928579
19,0.28948350007767265,0.28948350007767265,0.7901860656218818,0.000265
20,0.292906550447578,0.292906550447578,0.7599245770111742,0.00022198522637668813
21,0.2858563358693019,0.2858563358693019,0.7914462649980647,0.00018212600288415956
22,0.2805655771947425,0.2805655771947425,0.7992271486503184,0.00014585903551607687
23,0.2768683009173559,0.2768683009173559,0.7941102578946794,0.00011358167275627576
