epoch,val_QWK,val_QWK_fakequant,train_total_loss,learning_rate
0,0.569279982041641,0.569279982041641,0.8487351834774017,1e-05
1,0.5602437341917683,0.5602437341917683,0.8290577709674836,1e-05
2,0.5759788420628988,0.5759788420628988,0.8270895755290986,1e-05
3,0.5745405037440436,0.5745405037440436,0.8464443755149841,1e-05
4,0.565720903300521,0.565720903300521,0.8572853493690491,1e-05
5,0.5776551413447459,0.5776551413447459,0.846624047756195,1e-05
6,0.5753049823281269,0.5753049823281269,0.818559000492096,1e-05
7,0.5753595289321708,0.5753595289321708,0.828561350107193,1e-05
8,0.5560440815394279,0.5560440815394279,0.8482107985019683,1e-05
9,0.5660957150173562,0.5660957150173562,0.8172576081752777,1e-05
