L_task,L_total,epoch,val_QWK,learning_rate
0.6612334698438644,0.6612334698438644,0,0.27385892116182575,0.0009984894935292329
0.6011932682991028,0.6011932682991028,1,0.21404870367245943,0.0009939672868916176
0.5752764624357224,0.5752764624357224,2,0.35007009048043836,0.0009864612609948615
0.6002819043397903,0.6002819043397903,3,0.3529896341044828,0.0009760176929846252
0.5595814508199691,0.5595814508199691,4,0.34400419837313045,0.0009627009709305305
0.558693431019783,0.558693431019783,5,0.40680077224886335,0.0009465931968523002
0.5422447514533997,0.5422447514533997,6,0.41694578836372653,0.0009277936805335052
0.5297600299119949,0.5297600299119949,7,0.3210904172302571,0.0009064183272437243
0.5032175207138061,0.5032175207138061,8,0.3868852459016393,0.0008825989231440152
0.5105733972787857,0.5105733972787857,9,0.3927254228665903,0.0008564823227814083
0.4934729719161987,0.4934729719161987,10,0.366690918711555,0.0008282295436817901
0.488319428563118,0.488319428563118,11,0.38542434188492203,0.0007980147736233119
0.488553946018219,0.488553946018219,12,0.38700912208061067,0.0007660242967108149
0.4574541074037552,0.4574541074037552,13,0.3644333124608642,0.0007324553448723779
0.438838250041008,0.438838250041008,14,0.352299871378698,0.000697514881858894
