L_task,L_aux,L_logit_KD,L_CSD,L_total,weighted_aux,weighted_logit_KD,weighted_CSD,epoch,val_QWK,learning_rate,gnorm_task,gnorm_aux,gnorm_logit_kd,gnorm_csd,ratio_csd_over_task,ratio_aux_over_task,ratio_logit_kd_over_task,gradient_ratio_CSD_task
0.6585350519418717,1.3478896510601044,0.6208571195602417,0.9584582751989364,1.8346000838279723,0.6739448255300522,0.31042855978012085,0.1916916550397873,0,0.3872960451218693,0.0009984894935292329,2.912434264127695,0.3663580926445256,0.291253949285963,3.4615761074836287,1.18855081129888,0.12579102545143753,0.10000361308521985,1.18855081129888
0.5952987730503082,1.2321485733985902,0.6068671488761902,0.8983909451961517,1.6944848227500915,0.6160742866992951,0.3034335744380951,0.17967818903923036,1,0.3342210386151797,0.0009939672868916176,1.9444609610755508,0.840530970362616,0.23621566941923378,0.7238750029647443,0.372275410746402,0.4322693986603302,0.12148131237799419,0.372275410746402
0.5640045702457428,1.1641715478897094,0.5980635344982147,0.7710590529441833,1.599333918094635,0.5820857739448547,0.29903176724910735,0.15421181058883668,2,0.4772529895116574,0.0009864612609948615,2.4568589138237518,1.4277648358975952,0.4052757592349214,0.43576126860669323,0.17736519836562073,0.5811342392776971,0.164956871131101,0.17736519836562073
0.5549282431602478,1.1591840422153472,0.5998130333423615,0.6106844353675842,1.556563675403595,0.5795920211076736,0.29990651667118073,0.12213688707351684,3,0.48824867323730103,0.0009760176929846252,1.2748844884833228,0.9523517759838617,0.21952196047165035,0.40343762134409344,0.31645033333494116,0.7470102464865935,0.17218968655960865,0.31645033333494116
0.6760621947050095,1.2805562722682953,0.6294920730590821,1.911909223794937,2.0134682297706603,0.6402781361341476,0.31474603652954103,0.38238184475898745,4,0.16515426497277674,0.0009627009709305305,1.9080857698960136,1.5493696209076662,0.2340794510823302,1.112531474766695,0.5830615647992204,0.8120020836338522,0.1226776357621948,0.5830615647992204
0.5939622128009796,1.2140794050693513,0.6128441154956817,0.7940572547912598,1.6662354350090027,0.6070397025346757,0.30642205774784087,0.15881145095825197,5,0.3553811659192825,0.0009465931968523002,1.0597045354865398,1.0491828000149508,0.137072356682492,0.9633451704421112,0.9090695926858638,0.9900710668688814,0.12934959896114656,0.9090695926858638
0.5626694363355637,1.1747906231880187,0.6024440824985504,0.6894067466259003,1.5891681265830995,0.5873953115940094,0.3012220412492752,0.13788134932518006,6,0.4151851356770485,0.0009277936805335052,2.4026858267526703,1.742076458445912,0.1809026111503695,0.3329573325343383,0.13857714097574877,0.7250537873278259,0.0752918293087311,0.13857714097574877
0.5227962815761567,1.112244883775711,0.5935652554035187,0.6642482429742813,1.5085509967803956,0.5561224418878555,0.29678262770175934,0.13284964859485626,7,0.46243608233905864,0.0009064183272437243,1.16004034793596,0.8378839974525191,0.18215776420267868,1.8354927862022181,1.5822663319151606,0.7222886677548344,0.15702709352031494,1.5822663319151606
0.5230713230371475,1.10839235663414,0.5954408729076386,0.6113145500421524,1.4972508549690247,0.55419617831707,0.2977204364538193,0.12226291000843048,8,0.4897257920417841,0.0008825989231440152,2.3785534693773824,2.749428674478089,0.256440066334318,4.149403273374559,1.744507040432738,1.1559246869475623,0.1078134545369058,1.744507040432738
0.5218125528097153,1.1037733244895935,0.5910184061527253,0.610759242773056,1.4913602519035338,0.5518866622447968,0.29550920307636264,0.12215184855461121,9,0.3803759158967823,0.0008564823227814083,2.1114268224251904,1.5404239844495307,0.20938690012675445,0.4543825493655523,0.21520165631108507,0.7295654142918369,0.0991684380926127,0.21520165631108507
0.5225696820020675,1.10280170917511,0.5918556034564972,0.6162005472183227,1.4931384491920472,0.551400854587555,0.2959278017282486,0.12324010944366455,10,0.45300362506473335,0.0008282295436817901,1.7853445238237822,1.4034286968335588,0.16102519678572413,1.6430219965513084,0.9202828779693161,0.7860828417742863,0.09019278611886437,0.9202828779693161
0.5480483269691467,1.1529866325855256,0.5964984762668609,1.1868363082408906,1.6601581478118896,0.5764933162927628,0.29824923813343046,0.23736726164817812,11,0.4302497271618412,0.0007980147736233119,4.420674069501192,2.990912993357522,0.4046772252326217,0.5923618298038082,0.13399807823213883,0.6765739673033624,0.09154197275581628,0.13399807823213883
0.5443840974569321,1.133642659187317,0.5965342998504639,0.856317761540413,1.5807361340522765,0.5668213295936585,0.29826714992523196,0.1712635523080826,12,0.4455190199871051,0.0007660242967108149,0.9912958328468994,0.761091641813656,0.11461094865940614,0.5807543388217131,0.5858537074183461,0.7677744792166424,0.1156173009728643,0.5858537074183461
0.5051146513223648,1.0913653981685638,0.5904976761341095,0.5826834043860436,1.4625828766822815,0.5456826990842819,0.29524883806705476,0.11653668087720873,13,0.4842702423929861,0.0007324553448723779,1.1804890697650345,1.1279320408572642,0.17294501009154692,0.4412915786999921,0.3738209781034458,0.9554785975966458,0.14650284743929906,0.3738209781034458
0.49148989617824557,1.0586688137054443,0.582906299829483,0.5456601735949517,1.4214094829559327,0.5293344068527222,0.2914531499147415,0.10913203471899034,14,0.4828670229487583,0.000697514881858894,1.6717855615149668,0.9803236935384615,0.15538560248428446,0.7243080281116988,0.43325414741310075,0.5863932050292953,0.09294589333782409,0.43325414741310075
0.4849991679191589,1.062403837442398,0.5823094236850739,0.5275742223858834,1.4128706455230713,0.531201918721199,0.29115471184253694,0.10551484447717668,15,0.5319111935539969,0.0006614183272437242,1.7694947790777675,1.2714850380003857,0.19644666271585715,1.9825309626047438,1.1203937903891457,0.7185582308771001,0.11101850372129496,1.1203937903891457
0.4724697971343994,1.0295519173145293,0.5801302921772004,0.5256832587718964,1.3824475717544555,0.5147759586572647,0.2900651460886002,0.10513665175437928,16,0.5032297754537065,0.0006243882282893936,1.7861633829924395,1.8940937244398313,0.19242540643408235,0.6316597011473566,0.35364049401186853,1.0604257944570397,0.10773113381806285,0.35364049401186853
0.47447410464286804,1.046916196346283,0.5812735474109649,0.4680274519324303,1.3821744751930236,0.5234580981731415,0.29063677370548247,0.09360549038648606,17,0.4607843137254901,0.0005866528878697131,4.942421000005761,3.3887949100863293,0.34004319874917766,0.5973193761730117,0.12085562443432386,0.6856548460931149,0.06880093758681854,0.12085562443432386
0.47125538408756257,1.020826950073242,0.5849118518829346,0.74190638422966,1.4225060534477234,0.510413475036621,0.2924559259414673,0.14838127684593203,18,0.3382185866848444,0.000548444956906644,2.3431305382275682,1.4307138882282175,0.29991157788533174,0.5355019216610664,0.2285412241974961,0.6105993092943354,0.12799610307336787,0.2285412241974961
0.6092251020669938,1.2442275822162627,0.6163574075698852,1.1533162260055543,1.770180847644806,0.6221137911081314,0.3081787037849426,0.23066324520111087,19,0.3717716040765042,0.0005099999999999999,1.7903231346038644,1.8797460910810007,0.20734117322959433,0.9885101028794286,0.5521406073424567,1.0499479422171027,0.11581215101455507,0.5521406073424567
0.5735017329454422,1.1681028759479524,0.6042679059505462,0.736801587343216,1.6070474648475648,0.5840514379739762,0.3021339529752731,0.1473603174686432,20,0.39955619370839324,0.00047155504309335594,0.9738188683280325,0.8450362381078608,0.19301471158304867,1.5225060310377765,1.5634386235006876,0.8677550472591674,0.19820391436288265,1.5634386235006876
0.5323131543397903,1.1120263576507567,0.5971933615207672,0.6582051265239716,1.5185640358924866,0.5560131788253784,0.2985966807603836,0.13164102530479432,21,0.4800051516517483,0.00043334711213028693,2.1415318816992865,2.2430074240068096,0.21845115125045833,1.0821640190496202,0.5053223948227811,1.0473845583036583,0.10200695731745038,0.5053223948227811
0.5220384609699249,1.1078750944137574,0.5936003816127777,0.6157415652275086,1.495924515724182,0.5539375472068787,0.29680019080638886,0.12314831304550172,22,0.49870832820765154,0.0003956117717106063,2.828747027106664,2.2063513571788116,0.2581943050788526,0.5943262736096293,0.21010230604379138,0.7799747860223262,0.09127514853915455,0.21010230604379138
0.5049184155464173,1.0805041813850402,0.5874529016017914,0.539266939163208,1.4467503309249878,0.5402520906925201,0.2937264508008957,0.1078533878326416,23,0.5005549389567148,0.0003585816727562757,1.752832223412969,1.2212832904558324,0.2312562962534826,0.8856693104885823,0.5052789985593035,0.6967485388178517,0.1319329329781487,0.5052789985593035
