epoch,val_QWK,val_QWK_fakequant,train_total_loss,learning_rate
0,0.5418736084946053,0.5418736084946053,0.9080202090740204,1e-05
1,0.5210273444451035,0.5210273444451035,0.9416836440563202,1e-05
2,0.5263948249971121,0.5263948249971121,0.9213357651233673,1e-05
3,0.5408340071618344,0.5408340071618344,0.9192186069488525,1e-05
4,0.5447713740678652,0.5447713740678652,0.9087057566642761,1e-05
5,0.5353376449338694,0.5353376449338694,0.9281518769264221,1e-05
6,0.5424817853249957,0.5424817853249957,0.924114019870758,1e-05
7,0.5453537369705035,0.5453537369705035,0.9129922986030579,1e-05
8,0.5152439024390244,0.5152439024390244,0.8947383880615234,1e-05
9,0.5110278818143986,0.5110278818143986,0.8918074405193329,1e-05
