L_task,L_aux,L_total,weighted_aux,epoch,val_QWK,learning_rate,gnorm_task,gnorm_aux,ratio_aux_over_task
0.665806000828743,1.345321375131607,1.338466693162918,0.6726606875658036,0,0.40040650406504075,0.0009984894935292329,3.4059507178053523,0.5092006793763152,0.14950324345985316
0.6011959433555603,1.2451079833507537,1.2237499344348908,0.6225539916753768,1,0.3250863466553887,0.0009939672868916176,2.8871393010193738,1.4266278201355764,0.49413196641806345
0.5681157636642457,1.1804652750492095,1.1583484089374543,0.5902326375246048,2,0.4360365505425471,0.0009864612609948615,3.790519409348109,2.242205264497065,0.5915298201527157
0.5616871875524521,1.165323362350464,1.1443488705158233,0.582661681175232,3,0.45732279244271734,0.0009760176929846252,1.3836942548526885,1.1376997745123996,0.8222190491305623
0.5495437562465668,1.1502839362621307,1.1246857249736786,0.5751419681310653,4,0.5133574976506914,0.0009627009709305305,1.3836028193536651,1.3297497651659005,0.9610776637381229
0.5332620072364808,1.1151073050498963,1.0908156526088715,0.5575536525249482,5,0.4636508520289323,0.0009465931968523002,1.1879736567476282,1.1100036419150785,0.9343672190122364
0.5037104469537735,1.083961659669876,1.0456912803649903,0.541980829834938,6,0.4828931963054508,0.0009277936805335052,2.162056721576291,2.9658134451856117,1.3717556138043066
0.4999421375989914,1.0801082098484038,1.039996246099472,0.5400541049242019,7,0.502479551748567,0.0009064183272437243,2.770617939103712,1.7500755284559504,0.6316553082819119
0.49320824921131134,1.0478071558475495,1.0171118319034576,0.5239035779237747,8,0.5334257814757035,0.0008825989231440152,1.4838054313708422,1.0551294867358105,0.7110969298454507
0.48280691981315615,1.041873071193695,1.003743450641632,0.5209365355968475,9,0.5474293989862419,0.0008564823227814083,4.013015640558967,2.638886647913819,0.6575819494055728
0.4749183475971222,1.0117857801914214,0.9808112370967865,0.5058928900957107,10,0.5656685443225615,0.0008282295436817901,1.8668089394662648,1.3598556968997557,0.7284386035180167
0.45426664292812347,1.0159939897060395,0.9622636425495148,0.5079969948530197,11,0.5398589697621609,0.0007980147736233119,1.3622616802532628,1.9171360127650385,1.4073184620510042
0.4311559212207794,0.9597806453704834,0.9110462427139282,0.4798903226852417,12,0.4530914884490471,0.0007660242967108149,1.7032396926037803,0.9422384859641232,0.553203691797308
0.4404303014278412,0.9699514055252075,0.9254060029983521,0.48497570276260377,13,0.4904319640964907,0.0007324553448723779,2.5526127768380724,1.6043459069259756,0.6285112734228663
0.4129628214240074,0.9287888646125794,0.8773572492599487,0.4643944323062897,14,0.42531989582153773,0.000697514881858894,1.9390659285285452,1.2435130258952616,0.6412948665643865
0.42264501690864564,0.9445200610160828,0.894905047416687,0.4722600305080414,15,0.46896879079150344,0.0006614183272437242,4.878507633400184,3.297168609980696,0.6758559907556527
0.4000920158624649,0.9135016345977783,0.8568428325653076,0.45675081729888917,16,0.5307545973367153,0.0006243882282893936,2.065095931522329,1.3522528982327076,0.6548135985314086
0.4063743710517883,0.9255578923225403,0.8691533172130584,0.46277894616127013,17,0.49047676816692953,0.0005866528878697131,2.25423350893293,2.0911435581517144,0.9276517050540978
0.3972689694166183,0.9179949462413788,0.8562664461135864,0.4589974731206894,18,0.4716970087221214,0.000548444956906644,2.657468374106709,1.6417522480406745,0.6177880662803895
