L_task,L_total,epoch,val_QWK,learning_rate
0.6442815953493118,0.6442815953493118,0,0.35239805078225184,0.0009984894935292329
0.5950391751527786,0.5950391751527786,1,0.4244629487089778,0.0009939672868916176
0.5820499646663666,0.5820499646663666,2,0.4325950232430954,0.0009864612609948615
0.5658022570610046,0.5658022570610046,3,0.37837477501499894,0.0009760176929846252
0.545457643866539,0.545457643866539,4,0.4283827924108695,0.0009627009709305305
0.5515171736478806,0.5515171736478806,5,0.44602824931968377,0.0009465931968523002
0.5106356990337372,0.5106356990337372,6,0.48172558418214506,0.0009277936805335052
0.5164438444375992,0.5164438444375992,7,0.3816750983698707,0.0009064183272437243
0.5108835649490356,0.5108835649490356,8,0.5149803536345776,0.0008825989231440152
0.49619324862957,0.49619324862957,9,0.46454702673939074,0.0008564823227814083
0.4955610376596451,0.4955610376596451,10,0.5227102570501623,0.0008282295436817901
0.47511308193206786,0.47511308193206786,11,0.42509637112853915,0.0007980147736233119
0.47729566156864167,0.47729566156864167,12,0.5175102249488752,0.0007660242967108149
0.4519718736410141,0.4519718736410141,13,0.5296036126442549,0.0007324553448723779
0.43453410506248474,0.43453410506248474,14,0.4857520286846576,0.000697514881858894
0.450558625459671,0.450558625459671,15,0.4592936922977596,0.0006614183272437242
0.4293642067909241,0.4293642067909241,16,0.43880538746828035,0.0006243882282893936
0.43826366543769835,0.43826366543769835,17,0.4911188901854012,0.0005866528878697131
0.4145073658227921,0.4145073658227921,18,0.47690737433018626,0.000548444956906644
0.41377131044864657,0.41377131044864657,19,0.49640287769784175,0.0005099999999999999
0.40593931555747986,0.40593931555747986,20,0.44457860420188366,0.00047155504309335594
0.38532921552658084,0.38532921552658084,21,0.5048781912718351,0.00043334711213028693
