condition,epoch,L_task,L_aux,W_aux,L_logit_KD,W_logit_KD,L_CSD,W_CSD,L_total,gnorm_task,gnorm_aux,gnorm_logit_kd,gnorm_csd,gnorm_ratio_csd_over_task,L_feat_KD,W_feat_KD,gnorm_feat_kd
dual_csd,0.0,0.7567174965143204,1.3953366482257843,0.6976683241128921,0.6463077056407929,0.1615769264101982,0.8498185515403748,0.1699637132138013,1.7859264516830444,4.345118123551367,0.0,0.4212283369796782,7.487661027569877,1.723235321724703,,,
dual_csd,1.0,0.6352872550487518,1.2981535279750824,0.6490767639875412,0.6187905406951905,0.1546976351737976,0.6453070223331452,0.1290614064037799,1.5681230425834656,2.2094734920749084,0.0,0.0568880329224079,0.4030112403266606,0.1824014824220381,,,
dual_csd,2.0,0.6009344738721848,1.2456485211849213,0.6228242605924607,0.6097018015384674,0.1524254503846168,0.6401793044805527,0.1280358631908893,1.504220039844513,1.480290010517732,0.0,0.0588509797483868,0.9794046676105964,0.6616302620782052,,,
dual_csd,3.0,0.5823564177751541,1.203193528652191,0.6015967643260955,0.604782098531723,0.1511955246329307,0.6081798231601715,0.1216359671205282,1.4567846643924711,1.6568235578024373,0.0,0.1576201179417098,1.971580948354146,1.1899764094187515,,,
dual_csd,4.0,0.5561060005426407,1.1891797637939454,0.5945898818969727,0.5999318075180053,0.1499829518795013,0.5861033421754837,0.1172206711024046,1.4178995025157928,0.6202248946497763,0.0,0.0532407237833384,1.1546975788544045,1.861740134611059,,,
dual_csd,5.0,0.5368476468324661,1.1547961401939393,0.5773980700969696,0.5970967555046082,0.149274188876152,0.5724323046207428,0.1144864630699157,1.378006364107132,0.4957189910717056,0.0,0.0536938446699889,2.120872589154202,4.278376716149288,,,
dual_csd,6.0,0.5407605785131454,1.1385646665096285,0.5692823332548141,0.5950134861469268,0.1487533715367317,0.5787283587455749,0.1157456741482019,1.374541951417923,1.0810921094175223,0.0,0.0627506475466883,0.3077329267295577,0.2846500534495252,,,
dual_csd,7.0,0.4996893185377121,1.083742607831955,0.5418713039159775,0.5896701204776764,0.1474175301194191,0.5618230479955674,0.112364612147212,1.3013427639007569,3.0603537061261488,0.0,0.1687088974934506,1.1483529519360525,0.3752353689174244,,,
dual_csd,8.0,0.5021784150600433,1.092592455148697,0.5462962275743485,0.5897124171257019,0.1474281042814254,0.536902596950531,0.1073805211484432,1.3032832765579223,0.5087400908214776,0.0,0.0374981052262445,0.6092453083758527,1.1975571010967236,,,
dual_csd,9.0,0.4946348869800567,1.0787254798412322,0.5393627399206161,0.5856697833538056,0.1464174458384514,0.5487268614768982,0.1097453746199607,1.2901604449748991,0.5036399759277818,0.0,0.0820243101726543,0.4252835850433264,0.8444198343467257,,,
dual_csd,10.0,0.4904077166318893,1.0621891248226163,0.5310945624113083,0.588587510585785,0.1471468776464462,0.553460163474083,0.1106920339539647,1.279341183900833,1.526033214640451,0.0,0.069025966538084,0.5582316687054437,0.3658057133684136,,,
dual_csd,11.0,0.4523355460166931,0.9990088164806366,0.4995044082403183,0.5848240268230438,0.1462060067057609,0.5417684197425843,0.1083536856621503,1.2063996374607089,1.7671857307960048,0.0,0.087975371797583,1.1735924381604732,0.6641024866310143,,,
dual_csd,12.0,0.469498963356018,1.0275422632694244,0.5137711316347122,0.5860078072547913,0.1465019518136978,0.4949305337667465,0.0989861090481281,1.2287581527233125,1.1164846024809254,0.0,0.084926997562131,0.619396966595585,0.5547743025020061,,,
dual_csd,13.0,0.4487678337097168,1.0082321763038635,0.5041160881519318,0.5809940552711487,0.1452485138177871,0.5180360144376754,0.1036072044074535,1.2017396426200866,0.5103310615275934,0.0,0.0445994341987674,1.4251800943502713,2.7926579465577213,,,
dual_csd,14.0,0.4394667041301727,0.994257642030716,0.497128821015358,0.5823157942295074,0.1455789485573768,0.5089356932044029,0.1017871403694152,1.183961606025696,1.5424892093258666,0.0,0.0191524632280553,1.5288363341396434,0.991148803438184,,,
dual_csd,15.0,0.4453585535287857,0.9922797203063964,0.4961398601531982,0.5847273111343384,0.1461818277835846,0.4993898549675941,0.0998779727518558,1.1875582242012024,1.4137976037397668,0.0,0.0403134664554904,1.1918852966316318,0.8430381360661992,,,
dual_csd,16.0,0.4191747337579727,0.9468734788894654,0.4734367394447327,0.5824426519870758,0.1456106629967689,0.4911806637048721,0.0982361349463462,1.136458263397217,1.240115456470504,0.0,0.0754235493163192,2.4418935160787587,1.969085622905337,,,
dual_csd,17.0,0.4172307908535003,0.9583697354793548,0.4791848677396774,0.5827339446544647,0.1456834861636161,0.5015099385380745,0.100301989801228,1.1424011290073397,0.6451763666948527,0.0,0.1210610949531358,0.7589698765687372,1.1763758186878923,,,
dual_csd,18.0,0.3915872570872307,0.9137421822547912,0.4568710911273956,0.5788470304012299,0.1447117576003074,0.4717536708712578,0.0943507359176874,1.0875208497047424,1.112369381924093,0.0,0.0488964826078979,0.4168639039073183,0.3747531266873405,,,
dual_csd,19.0,0.4001756927371025,0.9384782862663268,0.4692391431331634,0.5796189892292023,0.1449047473073005,0.4863814175128936,0.0972762854397296,1.1115958750247956,0.2794249715816027,0.0,0.0227121475205173,0.4952247249663404,1.7722994554254292,,,
dual_csd,20.0,0.3911440700292587,0.9134784162044524,0.4567392081022262,0.580361760854721,0.1450904402136802,0.4554701119661331,0.0910940243303775,1.084067746400833,0.3615648383760493,0.0,0.1313333446740406,0.7138222946490319,1.97425805522221,,,
dual_csd,21.0,0.3722812271118164,0.8690769112110138,0.4345384556055069,0.5817192053794861,0.1454298013448715,0.475727646946907,0.0951455306261777,1.0473950123786926,1.9003857434908635,0.0,0.1394686776401016,0.7585881012400502,0.399175853554122,,,
dual_csd,22.0,0.3815285801887512,0.8882240879535676,0.4441120439767838,0.5791503894329071,0.1447875973582267,0.4322638761997223,0.0864527767896652,1.0568809914588928,0.7618085211269432,0.0,0.0694705553455032,0.2315704709637953,0.3039746400069577,,,
dual_csd,23.0,0.3776809945702553,0.8721181845664978,0.4360590922832489,0.5843313467502594,0.1460828366875648,0.4807768839597702,0.0961553784459829,1.0559782993793487,0.7791810966418086,0.0,0.0639520146386018,0.263628383019139,0.3383403218524559,,,
