condition,seed,bin_lo,bin_hi,count,mean_predicted,observed_frequency,OrdinalThreshold_ECE,OrdinalThreshold_Brier
best_fp32,123,0.0,0.10000000149011612,721.0,0.03790916129946709,0.01803051307797432,0.06013422027568925,0.14348170161247253
best_fp32,123,0.10000000149011612,0.20000000298023224,434.0,0.14858576655387878,0.21889400482177734,0.06013422027568925,0.14348170161247253
best_fp32,123,0.20000000298023224,0.30000001192092896,233.0,0.2444305270910263,0.30901288986206055,0.06013422027568925,0.14348170161247253
best_fp32,123,0.30000001192092896,0.4000000059604645,158.0,0.3432002067565918,0.3670886158943176,0.06013422027568925,0.14348170161247253
best_fp32,123,0.4000000059604645,0.5,119.0,0.44926419854164124,0.3613445460796356,0.06013422027568925,0.14348170161247253
best_fp32,123,0.5,0.6000000238418579,112.0,0.5465723872184753,0.3839285671710968,0.06013422027568925,0.14348170161247253
best_fp32,123,0.6000000238418579,0.699999988079071,91.0,0.6472253203392029,0.5054945349693298,0.06013422027568925,0.14348170161247253
best_fp32,123,0.699999988079071,0.800000011920929,94.0,0.7479197978973389,0.6489361524581909,0.06013422027568925,0.14348170161247253
best_fp32,123,0.800000011920929,0.8999999761581421,103.0,0.8514604568481445,0.7766990065574646,0.06013422027568925,0.14348170161247253
best_fp32,123,0.8999999761581421,1.0,135.0,0.9484889507293701,0.8740741014480591,0.06013422027568925,0.14348170161247253
fp32_ft_control,42,0.0,0.10000000149011612,813.0,0.037091244012117386,0.03198032081127167,0.052703602037985214,0.1423163264989853
fp32_ft_control,42,0.10000000149011612,0.20000000298023224,455.0,0.14499886333942413,0.2461538463830948,0.052703602037985214,0.1423163264989853
fp32_ft_control,42,0.20000000298023224,0.30000001192092896,240.0,0.2443898469209671,0.36666667461395264,0.052703602037985214,0.1423163264989853
fp32_ft_control,42,0.30000001192092896,0.4000000059604645,140.0,0.3496112823486328,0.34285715222358704,0.052703602037985214,0.1423163264989853
fp32_ft_control,42,0.4000000059604645,0.5,108.0,0.4492332339286804,0.3888888955116272,0.052703602037985214,0.1423163264989853
fp32_ft_control,42,0.5,0.6000000238418579,87.0,0.5511676073074341,0.4712643623352051,0.052703602037985214,0.1423163264989853
fp32_ft_control,42,0.6000000238418579,0.699999988079071,72.0,0.6544415354728699,0.5972222089767456,0.052703602037985214,0.1423163264989853
fp32_ft_control,42,0.699999988079071,0.800000011920929,73.0,0.7483352422714233,0.6712328791618347,0.052703602037985214,0.1423163264989853
fp32_ft_control,42,0.800000011920929,0.8999999761581421,90.0,0.8508965373039246,0.800000011920929,0.052703602037985214,0.1423163264989853
fp32_ft_control,42,0.8999999761581421,1.0,122.0,0.9481761455535889,0.8852459192276001,0.052703602037985214,0.1423163264989853
ptq_int8,123,0.0,0.10000000149011612,689.0,0.0379677414894104,0.02031930349767208,0.060797848976640534,0.14411161839962006
ptq_int8,123,0.10000000149011612,0.20000000298023224,410.0,0.14755195379257202,0.1902438998222351,0.060797848976640534,0.14411161839962006
ptq_int8,123,0.20000000298023224,0.30000001192092896,261.0,0.2468215525150299,0.3295019268989563,0.060797848976640534,0.14411161839962006
ptq_int8,123,0.30000001192092896,0.4000000059604645,174.0,0.34584659337997437,0.3563218414783478,0.060797848976640534,0.14411161839962006
ptq_int8,123,0.4000000059604645,0.5,126.0,0.4488541781902313,0.3174603283405304,0.060797848976640534,0.14411161839962006
ptq_int8,123,0.5,0.6000000238418579,103.0,0.5526713132858276,0.3203883469104767,0.060797848976640534,0.14411161839962006
ptq_int8,123,0.6000000238418579,0.699999988079071,99.0,0.6486877202987671,0.5252525210380554,0.060797848976640534,0.14411161839962006
ptq_int8,123,0.699999988079071,0.800000011920929,86.0,0.7446488738059998,0.6511628031730652,0.060797848976640534,0.14411161839962006
ptq_int8,123,0.800000011920929,0.8999999761581421,112.0,0.8523038029670715,0.7857142686843872,0.060797848976640534,0.14411161839962006
ptq_int8,123,0.8999999761581421,1.0,140.0,0.9463631510734558,0.8571428656578064,0.060797848976640534,0.14411161839962006
qat_int8,2026,0.0,0.10000000149011612,802.0,0.03685818612575531,0.03491271659731865,0.058345575017685246,0.14286090433597565
qat_int8,2026,0.10000000149011612,0.20000000298023224,453.0,0.14369794726371765,0.22075055539608002,0.058345575017685246,0.14286090433597565
qat_int8,2026,0.20000000298023224,0.30000001192092896,234.0,0.2448374330997467,0.3888888955116272,0.058345575017685246,0.14286090433597565
qat_int8,2026,0.30000001192092896,0.4000000059604645,134.0,0.34987276792526245,0.38805970549583435,0.058345575017685246,0.14286090433597565
qat_int8,2026,0.4000000059604645,0.5,106.0,0.44488629698753357,0.3396226465702057,0.058345575017685246,0.14286090433597565
qat_int8,2026,0.5,0.6000000238418579,84.0,0.5459284782409668,0.3928571343421936,0.058345575017685246,0.14286090433597565
qat_int8,2026,0.6000000238418579,0.699999988079071,78.0,0.6534205675125122,0.5512820482254028,0.058345575017685246,0.14286090433597565
qat_int8,2026,0.699999988079071,0.800000011920929,90.0,0.7506800293922424,0.6888889074325562,0.058345575017685246,0.14286090433597565
qat_int8,2026,0.800000011920929,0.8999999761581421,82.0,0.8504064679145813,0.7439024448394775,0.058345575017685246,0.14286090433597565
qat_int8,2026,0.8999999761581421,1.0,137.0,0.9473927021026611,0.8978102207183838,0.058345575017685246,0.14286090433597565
