axis,condition,x,QWK
Latency_median_ms,teacher,244.14801400234865,0.660965489322943
Latency_median_ms,best_fp32,12.6977124982659,0.49898618616219026
Latency_median_ms,ptq_int8,8.737072499570786,0.49996529946561175
Latency_median_ms,qat_int8,8.651751500413715,0.5020912257346118
CheckpointSize_MB,teacher,154.13597011566162,0.660965489322943
CheckpointSize_MB,best_fp32,1.3014287948608398,0.49898618616219026
CheckpointSize_MB,ptq_int8,0.9587593078613281,0.49996529946561175
CheckpointSize_MB,qat_int8,0.9596672058105469,0.5020912257346118
