epoch,train_total_loss,L_task,val_QWK,learning_rate
0,0.5610456022482152,0.5610456022482152,0.6665183395842604,0.000997315728730454
1,0.5124819470361403,0.5124819470361403,0.7019379202122908,0.0009892923243595647
2,0.47894055694747684,0.47894055694747684,0.7345836459114778,0.0009760176929846252
3,0.4728358305523766,0.4728358305523766,0.7394616968823869,0.0009576372742448742
4,0.4510306159303364,0.4510306159303364,0.7102600991071224,0.000934352447854375
5,0.4412320279376708,0.4412320279376708,0.765530621957023,0.0009064183272437242
6,0.4263601519918572,0.4263601519918572,0.7683958290022213,0.0008741409644839231
7,0.41436772166220953,0.41436772166220953,0.7841591184616447,0.0008378739971158405
8,0.4081774958554016,0.4081774958554016,0.7644017574333299,0.0007980147736233118
9,0.37578324384845246,0.37578324384845246,0.7716750071198991,0.0007549999999999999
10,0.3795853495719647,0.3795853495719647,0.7503664793549963,0.0007093009551071421
11,0.3808252824018697,0.3808252824018697,0.7835876092216274,0.0006614183272437242
12,0.37928542795233244,0.37928542795233244,0.7961171474270586,0.000611876728500702
13,0.35242172897024443,0.35242172897024443,0.8009799482160066,0.0005612189470011502
14,0.3471340223619009,0.3471340223619009,0.8132003724102346,0.00051
15,0.344371678718754,0.344371678718754,0.7786968509650268,0.00045878105299884973
16,0.33348944576137396,0.33348944576137396,0.7856774549422614,0.00040812327149929774
17,0.33359237100512845,0.33359237100512845,0.8003168649013874,0.00035858167275627567
18,0.3403838200124148,0.3403838200124148,0.8176689750984065,0.0003106990448928579
19,0.3204676520678263,0.3204676520678263,0.8147010244978574,0.000265
20,0.32230954249808186,0.32230954249808186,0.8199370271570385,0.00022198522637668813
21,0.31074018896194505,0.31074018896194505,0.8114177093560044,0.00018212600288415956
22,0.31788884734668915,0.31788884734668915,0.8227616749068585,0.00014585903551607687
23,0.3101461687675939,0.3101461687675939,0.8128431849830743,0.00011358167275627576
24,0.3113441172916168,0.3113441172916168,0.8138150335975489,8.5647552145625e-05
25,0.3038443344612213,0.3038443344612213,0.8241028927132918,6.23627257551255e-05
26,0.30541432699650445,0.30541432699650445,0.797592854679305,4.398230701537475e-05
27,0.30191151148129547,0.30191151148129547,0.8068911726922371,3.0707675640435203e-05
28,0.3081806198330926,0.3081806198330926,0.8021407719753487,2.2684271269546033e-05
29,0.30025316624615433,0.30025316624615433,0.80810655939002,2e-05
