epoch,val_QWK,val_QWK_fakequant,train_total_loss,learning_rate
0,0.610744039069233,0.604022067983627,0.8601213902235031,0.0001
1,0.5983714788732395,0.5792585853991358,0.8630536818504333,0.0001
2,0.5937376139516448,0.5979290592641551,0.8811794784665108,0.0001
3,0.6260037399626004,0.6477701353450189,0.8411369878053665,0.0001
4,0.6251343857862276,0.6211902978625339,0.8363631200790406,0.0001
5,0.6052058375081681,0.6316635413876239,0.8591689282655716,0.0001
6,0.6279196089082021,0.6337702390131071,0.8698084312677383,0.0001
7,0.6305153974310743,0.6581561798953104,0.860640404522419,0.0001
8,0.5244444444444445,0.5174891620642555,0.8317955374717713,0.0001
9,0.5968203133935719,0.620238373451741,0.8257047459483147,0.0001
