epoch,val_QWK,val_QWK_fakequant,train_total_loss,learning_rate
0,0.6083745309428794,0.6083745309428794,0.8574514403939247,3e-05
1,0.5923104392334245,0.5923104392334245,0.8388924127817154,3e-05
2,0.6050714077528417,0.6050714077528417,0.8361748066544533,3e-05
3,0.6312265970725065,0.6312265970725065,0.8351482194662094,3e-05
4,0.6315548954644121,0.6315548954644121,0.8112259739637375,3e-05
5,0.6212552682537875,0.6212552682537875,0.8158966946601868,3e-05
6,0.6137105549510338,0.6137105549510338,0.8375165736675263,3e-05
7,0.6351776414170062,0.6351776414170062,0.8239316362142562,3e-05
8,0.502668607472101,0.502668607472101,0.7906822207570076,3e-05
9,0.5780590717299579,0.5780590717299579,0.7982168626785279,3e-05
