L_task,L_aux,L_logit_KD,L_CSD,L_total,weighted_aux,weighted_logit_KD,weighted_CSD,epoch,val_QWK,learning_rate,gnorm_task,gnorm_aux,gnorm_logit_kd,gnorm_csd,ratio_csd_over_task,ratio_aux_over_task,ratio_logit_kd_over_task,gradient_ratio_CSD_task
0.6948182509839534,1.3468386179208756,0.6306485205888748,0.9402072235941887,1.7775825357437134,0.6734193089604378,0.3153242602944374,0.09402072235941888,0,0.4201434840147663,0.0009984894935292329,1.7843152850591144,0.09589144047708054,0.2618028846913393,0.44327905591496863,0.24843090210947938,0.05374130977861553,0.14672456537447962,0.24843090210947938
0.5685354042053222,1.1932026165723801,0.5929377260804176,0.6725385527312756,1.5288594287633896,0.5966013082861901,0.2964688630402088,0.06725385527312756,1,0.4859307359307359,0.0009939672868916176,1.9181296215028414,1.2864010690078427,0.3154378263325942,0.6692666272134736,0.34891626702949713,0.6706538779167366,0.16445073513095054,0.34891626702949713
0.5448573812842369,1.14080768764019,0.5859362089633942,0.6304091149568558,1.4712702298164368,0.570403843820095,0.2929681044816971,0.06304091149568558,2,0.5139188938954387,0.0009864612609948615,1.2845498208105712,1.0768842832506462,0.2712838228962268,0.4401330778798426,0.34263605097240346,0.838335941358129,0.2111898024516032,0.34263605097240346
0.5475258380174637,1.14595721244812,0.5921562689542771,0.6121378394961358,1.4777963703870773,0.57297860622406,0.29607813447713854,0.061213783949613576,3,0.47405329593267875,0.0009760176929846252,7.715879056920015,4.2266158833527925,0.4630762616652372,0.32027355312462463,0.0415083687499464,0.5477815103338273,0.060016008318575904,0.0415083687499464
0.5292868956923484,1.1122225385904312,0.578511490225792,0.5813327431678772,1.4327871817350388,0.5561112692952156,0.289255745112896,0.05813327431678772,4,0.5436938787487529,0.0009627009709305305,1.116243221042156,1.8648988801246595,0.22928614298099198,0.2062656364850103,0.1847855669774504,1.6706922335291206,0.2054087663501544,0.1847855669774504
0.5285203278064727,1.1121502703428268,0.5811948081851006,0.5897948063910008,1.4341723453998565,0.5560751351714134,0.2905974040925503,0.05897948063910008,5,0.5136528770655104,0.0009465931968523002,1.7569807694936805,1.4468593500297062,0.20353538658407858,0.2054737323560408,0.11694705822833415,0.8234918532697749,0.11584383285124547,0.11694705822833415
0.5216471065580844,1.102016648054123,0.5798648831248283,0.5913590741157532,1.421723780632019,0.5510083240270615,0.28993244156241416,0.05913590741157532,6,0.5130884106524332,0.0009277936805335052,2.098886278181401,2.051397388502419,0.47524825938275983,0.5814722276525351,0.2770384625870998,0.977374243582111,0.22642878002639716,0.2770384625870998
0.49746533125638964,1.0600703114271164,0.5707587563991546,0.5677614775300026,1.369656013250351,0.5300351557135582,0.2853793781995773,0.056776147753000265,7,0.5414466880748925,0.0009064183272437243,3.707554588485556,2.3618698554375626,0.5352018239381668,0.5321493760699326,0.14353109667558595,0.6370425031023826,0.14435440157788304,0.14353109667558595
0.4902602809667587,1.0460288834571838,0.5679215261340141,0.549786362349987,1.3522141182422638,0.5230144417285919,0.28396076306700707,0.054978636234998705,8,0.5798191857290214,0.0008825989231440152,1.8008155666127463,1.5945266165230478,0.26996126257421055,0.4051161882758457,0.2249626201520743,0.8854469308715945,0.14991055584997837,0.2249626201520743
0.4699940338730812,1.0085446435213088,0.5674412548542023,0.5469781959056854,1.3126848101615907,0.5042723217606544,0.28372062742710114,0.05469781959056855,9,0.6128318584070795,0.0008564823227814083,2.389934299638159,1.572586934588279,0.36694697928350223,0.35598428937988746,0.14895149604480099,0.6580042534333985,0.15353852168198046,0.14895149604480099
