L_task,L_total,epoch,val_QWK,learning_rate
0.6511656126379967,0.6511656126379967,0,0.2810885822218795,0.0009984894935292329
0.6025580716133118,0.6025580716133118,1,0.34693177922523133,0.0009939672868916176
0.5926258340477943,0.5926258340477943,2,0.3448179467468028,0.0009864612609948615
0.5653807646036149,0.5653807646036149,3,0.3497582015422821,0.0009760176929846252
0.5483655002713204,0.5483655002713204,4,0.3870314083080041,0.0009627009709305305
0.5445202878117561,0.5445202878117561,5,0.4005119224033409,0.0009465931968523002
0.5329765114188194,0.5329765114188194,6,0.39866781793511774,0.0009277936805335052
0.540980731844902,0.540980731844902,7,0.45835186479445966,0.0009064183272437243
0.5255104649066925,0.5255104649066925,8,0.41760929379394685,0.0008825989231440152
0.5195265528559685,0.5195265528559685,9,0.41325510068009075,0.0008564823227814083
0.5013225784897805,0.5013225784897805,10,0.45065535851966076,0.0008282295436817901
0.5075698265433312,0.5075698265433312,11,0.4426146440334431,0.0007980147736233119
0.4995179510116577,0.4995179510116577,12,0.42592835585881117,0.0007660242967108149
0.48022671043872833,0.48022671043872833,13,0.4686889071072712,0.0007324553448723779
0.460140074044466,0.460140074044466,14,0.4507180557260341,0.000697514881858894
0.4647989296913147,0.4647989296913147,15,0.45750734788318426,0.0006614183272437242
0.46302490234375,0.46302490234375,16,0.45273631840796025,0.0006243882282893936
0.4518896177411079,0.4518896177411079,17,0.4496021220159152,0.0005866528878697131
0.4735573548078537,0.4735573548078537,18,0.46186387955704866,0.000548444956906644
0.45240998655557635,0.45240998655557635,19,0.4774638019617,0.0005099999999999999
0.4276179075241089,0.4276179075241089,20,0.450514945993469,0.00047155504309335594
0.426104955971241,0.426104955971241,21,0.4845971563981043,0.00043334711213028693
0.4166353711485863,0.4166353711485863,22,0.46218740584513407,0.0003956117717106063
0.41314085334539413,0.41314085334539413,23,0.4872379216043755,0.0003585816727562757
0.4044236224889755,0.4044236224889755,24,0.4541216879293426,0.00032248511814110596
0.4068910105526447,0.4068910105526447,25,0.5009658725048294,0.000287544655127622
0.39492334380745886,0.39492334380745886,26,0.42325337527854245,0.000253975703289185
0.38557223677635194,0.38557223677635194,27,0.4890790650146889,0.00022198522637668816
0.3973062254488468,0.3973062254488468,28,0.5075900138000251,0.00019177045631821
0.3817715646326542,0.3817715646326542,29,0.4862589749938103,0.00016351767721859168
0.38822520777583125,0.38822520777583125,30,0.5044645684250524,0.0001374010768559848
0.3674963891506195,0.3674963891506195,31,0.4868035190615836,0.00011358167275627576
0.39576146930456163,0.39576146930456163,32,0.4525090727067951,9.22063194664948e-05
0.3639973273873329,0.3639973273873329,33,0.48538754764930103,7.340680314769976e-05
0.38518483459949493,0.38518483459949493,34,0.48286508181537513,5.729902906946948e-05
0.352862523496151,0.352862523496151,35,0.47835565244472134,4.3982307015374766e-05
0.38261613219976426,0.38261613219976426,36,0.4901708616571744,3.3538739005138486e-05
