L_task,L_aux,L_logit_KD,L_feat_KD,L_total,weighted_aux,weighted_logit_KD,weighted_feat_KD,epoch,val_QWK,learning_rate,gnorm_task,gnorm_aux,gnorm_logit_kd,gnorm_feat_kd,ratio_aux_over_task,ratio_logit_kd_over_task,ratio_feat_kd_over_task
0.6391933393478394,1.3156609070301055,0.6138103437423706,0.2956211792677641,2.195171332359314,0.6578304535150528,0.3069051718711853,0.5912423585355282,0,0.4227694275663576,0.0009984894935292329,4.953593896334437,0.46962553818641073,0.40545566295777513,0.4717242221348364,0.09480501389787413,0.0818508080078596,0.09522868285264627
0.5608636948466301,1.1849156570434571,0.5925213834643364,0.13099667962640524,1.7115755712985992,0.5924578285217286,0.2962606917321682,0.2619933592528105,1,0.501450885966537,0.0009939672868916176,4.7317757840067225,1.2273677375408427,0.5295815655189757,1.8302126210192657,0.25938839741504943,0.11192025778333527,0.38679191588184214
0.533567653298378,1.1094802802801131,0.5846189680695534,0.131196596249938,1.6430104619264603,0.5547401401400566,0.2923094840347767,0.262393192499876,2,0.5275144577594945,0.0009864612609948615,2.4941080622327085,2.1704828906394735,0.424765236532676,2.2970747474480007,0.8702441259487659,0.17030747102129531,0.9210004900075079
0.5189248825609684,1.1033986699581146,0.581512807905674,0.12371569871902466,1.6088120168447495,0.5516993349790573,0.290756403952837,0.24743139743804932,3,0.5498558450742533,0.0009760176929846252,1.2908284035530684,0.7091603734440624,0.1439604232222817,1.084358321823159,0.5493839239143357,0.11152560853636594,0.8400483897305092
0.5462504771351814,1.1302452081441878,0.5852787369489669,0.1267490815371275,1.6575106108188629,0.5651226040720939,0.29263936847448346,0.253498163074255,4,0.47385036304324946,0.0009627009709305305,3.441152132483509,2.2083980321196224,0.45983094520464085,1.8884453956486962,0.6417612320225443,0.13362703173276358,0.5487828851919397
0.528357801437378,1.0929462116956712,0.5841481491923333,0.1233968060836196,1.613698593378067,0.5464731058478356,0.29207407459616663,0.2467936121672392,5,0.4611930724823605,0.0009465931968523002,2.596876298716408,1.7205076251242524,0.47574217281884534,2.131641887238494,0.6625296807455442,0.1831978569999644,0.8208484509994289
0.49897020727396013,1.0488982588052749,0.5695061302185058,0.11352540452033281,1.535223217010498,0.5244491294026374,0.2847530651092529,0.22705080904066563,6,0.6331042169793796,0.0009277936805335052,1.9151374399079766,1.9013318408797426,0.2563488152211698,1.3769335355149162,0.9927913272747164,0.13385400435463657,0.7189737440363959
0.49042373061180117,1.0531314212083815,0.5717047420144081,0.10542688071727753,1.5136955851316451,0.5265657106041908,0.28585237100720406,0.21085376143455506,7,0.5419362641349701,0.0009064183272437243,2.527560055134913,2.093475148699385,0.3056019319155639,1.9435820819907386,0.8282593105735888,0.12090788161282753,0.7689558465850167
0.4821153661608696,1.0408435001969338,0.5733253270387649,0.1160208909586072,1.521241552233696,0.5204217500984669,0.28666266351938247,0.2320417819172144,8,0.5786760873342214,0.0008825989231440152,2.4474801474437986,2.4213795709831234,0.35021531150202245,1.5408079096664953,0.9893357351691145,0.14309219703693815,0.6295486855228422
0.4608190554380417,1.0007742160558701,0.562287885248661,0.09908493682742119,1.4405199885368347,0.5003871080279351,0.2811439426243305,0.19816987365484237,9,0.5660463263331625,0.0008564823227814083,1.430286051035468,1.4354771110727074,0.2427562827070565,1.1951990060756947,1.0036293859074423,0.16972568706190694,0.8356363436603608
0.456046237796545,0.9918429911136627,0.5556470987200737,0.09301577597856521,1.4158228403329849,0.49592149555683135,0.27782354936003684,0.18603155195713042,10,0.5756149860027399,0.0008282295436817901,2.637420680168855,1.673096608534125,0.36271328906879435,1.7707157949242522,0.6343685029522892,0.13752576211906112,0.6713816298774475
0.46386773854494096,1.0046564185619353,0.564381998181343,0.10528442464768886,1.4589557874202728,0.5023282092809677,0.2821909990906715,0.21056884929537772,11,0.5473148952002976,0.0007980147736233119,3.949902599989151,4.670664820190375,0.3803583133688777,2.681081065061813,1.1824759476862046,0.09629561837041815,0.6787714373182714
0.4255869971215725,0.9654247060418129,0.5531579270958901,0.09467207871377468,1.3742224717140197,0.4827123530209064,0.27657896354794503,0.18934415742754937,12,0.49487195234293435,0.0007660242967108149,2.300145497872644,1.6745025874328299,0.22294011010360898,1.2870248026681272,0.7279985500836977,0.09692435122465147,0.559540604652388
0.43684585109353063,0.9618917393684387,0.5557031828165054,0.09844600118696689,1.392535304427147,0.4809458696842194,0.2778515914082527,0.19689200237393378,13,0.5678579771081523,0.0007324553448723779,3.4165888627661456,1.8571271384815136,0.411119308911666,1.7459113229786953,0.5435617843049287,0.12033034275561466,0.5110100726504058
0.42916483923792836,0.943635899424553,0.5563828358054161,0.09631650261580944,1.3718072164058686,0.4718179497122765,0.27819141790270807,0.1926330052316189,14,0.6809939556749496,0.000697514881858894,3.1888167838956605,1.5953903717428404,0.49240488277973476,2.0334811528468673,0.5003079448778524,0.1544161725648539,0.6376914356185237
0.4362056438624859,0.9661425805091858,0.5549934029579162,0.09661478571593761,1.390003200173378,0.4830712902545929,0.2774967014789581,0.19322957143187522,15,0.6131627811017124,0.0006614183272437242,3.684568813710773,1.414681412540195,0.32431535837752773,2.1936268361311315,0.38394761614329914,0.0880198945316768,0.5953551004308436
0.4180212190747261,0.9422106355428695,0.5479816216230392,0.08900497924536467,1.3411273097991943,0.4711053177714348,0.2739908108115196,0.17800995849072934,16,0.5983880695213553,0.0006243882282893936,5.611074867426863,3.5472254504758576,0.5340465275016211,2.0039145409682635,0.6321828765942934,0.09517722363710415,0.357135591364373
0.4406086318194866,0.9769601535797119,0.5581329038739204,0.10130673848092556,1.4107686400413513,0.48848007678985594,0.2790664519369602,0.2026134769618511,17,0.5431967358524038,0.0005866528878697131,6.449614787214972,3.680835090408979,0.795335301589622,3.1870732440133573,0.5707061912760237,0.12331516343676986,0.49414939483379244
0.40775836631655693,0.9142889404296874,0.5536100909113884,0.08960665881633759,1.3209211933612823,0.4571444702148437,0.2768050454556942,0.17921331763267517,18,0.5625762948322968,0.000548444956906644,3.0343403645516815,1.5765565296451085,0.47284044866925506,2.083799645393903,0.5195714192326746,0.1558297329439891,0.6867389267656467
0.3982757903635502,0.9035564744472504,0.5467519149184227,0.08755972776561975,1.2985494428873061,0.4517782372236252,0.27337595745921134,0.1751194555312395,19,0.6293895496307986,0.0005099999999999999,2.8518571203998886,1.9874875200599564,0.5394519079392045,2.9059350623529423,0.6969099208523006,0.18915811177229044,1.018962360198982
0.40989289700984954,0.9229779505729675,0.5464065152406693,0.08951786350458861,1.3236208587884903,0.46148897528648375,0.27320325762033465,0.17903572700917722,20,0.6482584180850504,0.00047155504309335594,1.350146342668419,2.047957198725778,0.2790540893159933,1.9446901730318902,1.5168409038372912,0.20668432783699053,1.4403551019428156
0.37507751151919366,0.8642409080266953,0.5343961191177368,0.07655784025788308,1.2275117027759552,0.43212045401334764,0.2671980595588684,0.15311568051576616,21,0.6398952422522917,0.00043334711213028693,2.657299216512493,2.0674867179251137,0.2394198845275389,0.8575095203990808,0.7780406154781981,0.09009895575168221,0.3226996474730829
0.3999479855597019,0.9065531641244888,0.5467780801653862,0.08422268480062485,1.2950589740276337,0.4532765820622444,0.2733890400826931,0.1684453696012497,22,0.6326893062806092,0.0003956117717106063,2.5188154691806477,3.2481742860936667,0.31507810154498245,1.2725869400232437,1.2895642121613118,0.12508979137224174,0.505232302879737
