epoch,val_QWK,val_QWK_fakequant,train_total_loss,learning_rate
0,0.6255794603589682,0.6255794603589682,0.835671349465847,3e-05
1,0.5872996746595974,0.5872996746595974,0.8409690058231354,3e-05
2,0.6172069104986422,0.6172069104986422,0.8492772173881531,3e-05
3,0.6459820400644716,0.6459820400644716,0.8275861877202988,3e-05
4,0.622242806692526,0.622242806692526,0.818816169500351,3e-05
5,0.6070413549098079,0.6070413549098079,0.8225985825061798,3e-05
6,0.6324324324324324,0.6324324324324324,0.8392390322685241,3e-05
7,0.646257429909,0.646257429909,0.8232506150007248,3e-05
8,0.5228316018361923,0.5228316018361923,0.8126557719707489,3e-05
9,0.6024210776169001,0.6024210776169001,0.8006346639990807,3e-05
