L_task,L_aux,L_logit_KD,L_CSD,L_total,weighted_aux,weighted_logit_KD,weighted_CSD,epoch,val_QWK,learning_rate,gnorm_task,gnorm_aux,gnorm_logit_kd,gnorm_csd,ratio_csd_over_task,ratio_aux_over_task,ratio_logit_kd_over_task,gradient_ratio_CSD_task
0.6864133578538895,1.3440996474027633,0.630375297665596,0.020809406311018394,1.6757317721843719,0.6720498237013817,0.315187648832798,0.0020809406311018395,0,0.41682218075179955,0.0009984894935292329,1.4340984980680596,0.09067898962430472,0.22859647019345328,0.007149761708951573,0.0049855443810751824,0.0632306565737727,0.1594008155656018,0.0049855443810751824
0.5799091589450837,1.212104663848877,0.5941394165158271,0.014843224857468158,1.4845155328512192,0.6060523319244385,0.29706970825791357,0.0014843224857468158,1,0.4899224806201551,0.0009939672868916176,1.390676697176984,0.7139367966084852,0.24052052448655284,0.01445688605998365,0.01039557654869067,0.5133736676955523,0.17295214982375093,0.01039557654869067
0.5582520425319671,1.1636942160129546,0.5906626585125924,0.012861368167214095,1.436716626882553,0.5818471080064773,0.2953313292562962,0.0012861368167214095,2,0.5103705130674887,0.0009864612609948615,1.8536636829326543,1.3039519044361902,0.22777644668127411,0.010233610196910084,0.005520748068344112,0.7034457849296735,0.12287905771607519,0.005520748068344112
0.5440536308288574,1.139201768040657,0.5911036786437035,0.012159353271126747,1.4104222786426543,0.5696008840203285,0.29555183932185175,0.0012159353271126749,3,0.514629477713973,0.0009760176929846252,4.420095421894069,2.76419494628721,0.4738316867862104,0.011219896154650329,0.0025383832437360495,0.6253699711086138,0.10719942479955949,0.0025383832437360495
0.5263095267117024,1.101631835103035,0.5804979211091995,0.011308316726936028,1.3685052347183229,0.5508159175515175,0.29024896055459976,0.0011308316726936028,4,0.5441103992114342,0.0009627009709305305,2.7647612361818235,4.892492540107065,0.5022788694677188,0.019965578911136445,0.007221447787190914,1.7695895313056653,0.18167169840726408,0.007221447787190914
0.5198303017020226,1.0898312681913376,0.5776454377174377,0.011038337098434568,1.354672474861145,0.5449156340956688,0.28882271885871885,0.0011038337098434568,5,0.46942394599851267,0.0009465931968523002,2.1050605083147698,1.4218820542631947,0.3728917076499445,0.0028938171072669314,0.001374695452143373,0.6754589944787376,0.17714061243230828,0.001374695452143373
0.5228521889448166,1.1054472333192826,0.5825001683831215,0.010864022717578336,1.3679122918844222,0.5527236166596413,0.29125008419156073,0.0010864022717578337,6,0.5437851486284861,0.0009277936805335052,2.050923135550509,1.7046172291773016,0.40262285167085815,0.006155439153146879,0.0030013017291818864,0.8311463260761102,0.19631298935188327,0.0030013017291818864
0.48971019461750986,1.0372369945049287,0.5727647414803505,0.011067646502051503,1.295817837715149,0.5186184972524643,0.28638237074017525,0.0011067646502051505,7,0.5243128964059197,0.0009064183272437243,4.849526983519807,2.213921221858803,0.6559450428957775,0.015796300410855283,0.0032572868373629015,0.4565231267672893,0.13525959235300303,0.0032572868373629015
0.48322624996304514,1.0482603764533998,0.5666466626524925,0.011422601267695428,1.29182204246521,0.5241301882266999,0.28332333132624626,0.0011422601267695428,8,0.5346215780998389,0.0008825989231440152,3.01752599609266,2.305554770501727,0.3611724123529127,0.009049799386653545,0.0029990791788942223,0.7640546505604752,0.11969156614411552,0.0029990791788942223
0.47102458506822587,1.0092703753709793,0.5682769477367401,0.010427851267158984,1.2608410328626634,0.5046351876854897,0.28413847386837005,0.0010427851267158985,9,0.5885471244529372,0.0008564823227814083,1.916106839287328,1.5283133404897895,0.28930922392364994,0.007549075993587883,0.0039397990961692235,0.797613843421292,0.15098804408592106,0.0039397990961692235
