L_task,L_aux,L_total,weighted_aux,epoch,val_QWK,learning_rate,gnorm_task,gnorm_aux,ratio_aux_over_task
0.6638908398151397,1.308528424501419,1.3181550598144531,0.6542642122507095,0,0.35687635006873086,0.0009984894935292329,3.264735629071733,0.41129596246391775,0.12598139916795104
0.5848172897100449,1.2191861271858215,1.1944103455543518,0.6095930635929108,1,0.4584416450043325,0.0009939672868916176,4.830947603636855,1.5437010944382055,0.31954416008902053
0.5662962317466735,1.170154677629471,1.1513735699653624,0.5850773388147354,2,0.5196910704027574,0.0009864612609948615,2.4840944286709057,1.5870799061690517,0.6388967697247345
0.5561055636405945,1.159594521522522,1.1359028232097625,0.579797260761261,3,0.42592010066058505,0.0009760176929846252,1.336066087840209,0.7866759446844678,0.5888001737669677
0.547135796546936,1.1402855515480042,1.1172785663604736,0.5701427757740021,4,0.49262745524783724,0.0009627009709305305,1.5591640650234084,2.0794733634677884,1.3337104222169
0.5274273204803467,1.123982719182968,1.089418683052063,0.561991359591484,5,0.5351816569213587,0.0009465931968523002,2.157377351797476,1.6616739973343724,0.7702287205109968
0.49965894639492037,1.066586619615555,1.0329522562026978,0.5332933098077774,6,0.4870125844646953,0.0009277936805335052,4.112685869106753,2.801796462476901,0.6812571034231293
0.489494526386261,1.0733664679527282,1.0261777687072753,0.5366832339763641,7,0.5270531134520986,0.0009064183272437243,1.925600497082695,1.2157817738058114,0.6313779912540185
0.4989711219072342,1.0734730625152589,1.0357076466083526,0.5367365312576294,8,0.47486280199331354,0.0008825989231440152,2.1323714720885194,2.3766929872467313,1.1145773700109178
0.4695443159341812,1.0262216544151306,0.9826551342010498,0.5131108272075653,9,0.5220282626766417,0.0008564823227814083,1.964705096741314,1.5661343797164784,0.7971345838691464
0.4506357496976852,1.0087997949123382,0.9550356447696686,0.5043998974561691,10,0.544709258066405,0.0008282295436817901,1.3003628611781155,1.1226772898788555,0.863356931665767
0.43412561118602755,0.9854411625862122,0.9268461918830871,0.4927205812931061,11,0.5212395543175488,0.0007980147736233119,2.0242015931656088,2.695561753529853,1.3316666495229446
0.43968388080596926,0.9986525845527648,0.9390101766586304,0.4993262922763824,12,0.38739789964994165,0.0007660242967108149,1.6270165202395235,1.6746256170433063,1.0292615939737195
0.4077121236920357,0.9450616693496704,0.8802429568767548,0.4725308346748352,13,0.557633973710819,0.0007324553448723779,2.013850831881139,1.4412411166022407,0.7156642854505648
0.4094175469875336,0.9279349195957184,0.8733850085735321,0.4639674597978592,14,0.5401792653230402,0.000697514881858894,4.238925555083462,1.8078574763050184,0.42648955562264473
0.4228833156824112,0.9557941949367523,0.9007804131507874,0.47789709746837616,15,0.43586156559819966,0.0006614183272437242,2.878034567983748,2.493730295757286,0.8664698900765141
0.4070233583450317,0.9302844214439392,0.872165573835373,0.4651422107219696,16,0.48768775476017645,0.0006243882282893936,4.003649962799463,2.2921835018387906,0.5725234531332586
0.4064380818605423,0.9312517488002777,0.8720639550685882,0.46562587440013886,17,0.49554069119286526,0.0005866528878697131,2.726402733638401,3.0647350208532735,1.124094757916915
0.381053563952446,0.8936607921123505,0.8278839552402496,0.44683039605617525,18,0.4984132106933463,0.000548444956906644,2.6355659419781725,1.9406174281891337,0.7363190566700705
0.3679083943367004,0.8551823008060455,0.7954995465278626,0.42759115040302276,19,0.5120455052420254,0.0005099999999999999,2.767385791984542,1.6032241363078132,0.5793280217566313
0.38181921780109407,0.8936238777637482,0.8286311542987823,0.4468119388818741,20,0.5474625579140179,0.00047155504309335594,1.8164297916439855,1.214156935563737,0.6684304238727812
0.3505439043045044,0.8233808505535126,0.7622343337535858,0.4116904252767563,21,0.44941600325411124,0.00043334711213028693,1.960103074190011,1.9475350627518093,0.993588086461527
