L_task,L_aux,L_logit_KD,L_CSD,L_total,weighted_aux,weighted_logit_KD,weighted_CSD,epoch,val_QWK,learning_rate,gnorm_task,gnorm_aux,gnorm_logit_kd,gnorm_csd,ratio_csd_over_task,ratio_aux_over_task,ratio_logit_kd_over_task,gradient_ratio_CSD_task
0.6564171198010444,1.3167596518993379,0.6169583112001419,1.0674213156104089,1.7300182366371155,0.6583798259496689,0.30847915560007094,0.1067421315610409,0,0.3974930542094721,0.0009984894935292329,4.009970568162401,0.46630744478215636,0.37779911784135256,1.0931018867617621,0.272595987471969,0.11628699933222833,0.09421493535162824,0.272595987471969
0.5744338124990463,1.200742340683937,0.5951420053839683,0.5532020520418882,1.5276961916685103,0.6003711703419685,0.29757100269198417,0.05532020520418882,1,0.4713392738396063,0.0009939672868916176,2.015726966850747,0.9470256639100344,0.23926439420942494,0.2547360675721659,0.12637429163839115,0.4698184225761545,0.11869881097202244,0.12637429163839115
0.5420655320584774,1.1333704870939254,0.5823640662431717,0.5288851821422577,1.4528213214874268,0.5666852435469627,0.29118203312158586,0.05288851821422577,2,0.4999678435912278,0.0009864612609948615,3.840229047352433,2.2010498824815743,0.29284340237236606,0.36608204179257947,0.09532817893895346,0.573155886105034,0.07625675415747947,0.09532817893895346
0.5344778859615326,1.117244371175766,0.586132544875145,0.5346831001341343,1.4396346664428712,0.558622185587883,0.2930662724375725,0.053468310013413435,3,0.498535046202389,0.0009760176929846252,0.8557537462486907,0.568248265787088,0.1488832133488675,0.3009160131397899,0.35163855777306835,0.6640324605975482,0.17397903777987148,0.35163855777306835
0.5438082724809646,1.1243075239658356,0.5867100551724433,0.5705710576474666,1.4563741844892502,0.5621537619829178,0.2933550275862217,0.057057105764746666,4,0.5306859205776173,0.0009627009709305305,2.68795557177258,2.0117946500995987,0.3867431295937185,0.5051497313615289,0.18793083362922045,0.7484478803244932,0.14388003047932804,0.18793083362922045
0.5233546495437622,1.0942515987157821,0.5832594028115272,0.5523262685537338,1.4173427772521974,0.5471257993578911,0.2916297014057636,0.05523262685537338,5,0.49838597379580984,0.0009465931968523002,3.941734475075197,2.4967402280737243,0.6645551320752984,0.3755103642239745,0.09526526116826041,0.6334115714443433,0.1685945961803073,0.09526526116826041
0.48759980767965316,1.0426597279310226,0.5687326562404632,0.5414991326630115,1.3474459153413774,0.5213298639655113,0.2843663281202316,0.054149913266301156,6,0.5531601252994287,0.0009277936805335052,2.356338335843804,2.1948609843876867,0.3668985131941235,0.23192682291671723,0.09842679185273465,0.9314710672063602,0.1557070593865873,0.09842679185273465
0.5034148232638835,1.0669561338424682,0.5734716886281968,0.49140415895730255,1.3727691531181336,0.5334780669212341,0.2867358443140984,0.04914041589573026,7,0.49984321103794294,0.0009064183272437243,2.537541000815165,1.9089393533820866,0.29393276931784357,0.6528057952554691,0.25725921080516945,0.7522792154959683,0.1158337024794555,0.25725921080516945
0.4778284880518913,1.0348187667131423,0.5721856489777565,0.5070295506715774,1.3320336425304413,0.5174093833565712,0.28609282448887824,0.050702955067157746,8,0.5533642691415313,0.0008825989231440152,1.7460890940592926,1.7225450820263115,0.257571605816434,0.4471666823579578,0.2560961430200498,0.9865161450735334,0.14751343828488947,0.2560961430200498
0.4572642262279987,0.9999055629968643,0.5596809101104736,0.48302304327487944,1.2853597670793533,0.49995278149843214,0.2798404550552368,0.048302304327487944,9,0.5696262233227214,0.0008564823227814083,1.6603450249975886,1.6052673873178396,0.24181749745483713,0.37141307346008967,0.2236963208659773,0.9668275949573619,0.14564291988358766,0.2236963208659773
0.45655918717384336,0.9941412159800529,0.5601400464773179,0.5002056381106377,1.2837203747034074,0.49707060799002645,0.2800700232386589,0.05002056381106377,10,0.6263709774617332,0.0008282295436817901,2.1929666960335066,1.5093774773834694,0.27398192500835816,0.24478019843551282,0.11162057265997477,0.688281076093646,0.12493665567467056,0.11162057265997477
