L_task,L_aux,L_logit_KD,L_total,weighted_aux,weighted_logit_KD,epoch,val_QWK,learning_rate,gnorm_task,gnorm_aux,gnorm_logit_kd,ratio_aux_over_task,ratio_logit_kd_over_task
0.7225266852974892,1.371200761795044,0.6389357656240463,1.7275949370861055,0.685600380897522,0.31946788281202315,0,0.40981057393271136,0.0009984894935292329,3.274543675461365,0.16635902538158412,0.4396217663478178,0.05080372774632333,0.1342543602768949
0.5627841427922249,1.2148210406303406,0.5948516422510147,1.4676204985380172,0.6074105203151703,0.29742582112550736,1,0.4415807560137458,0.0009939672868916176,3.585375876895279,0.7624871034328118,0.5043965581066088,0.21266587649746782,0.14068163992428767
0.5665420484542847,1.1725724136829376,0.596287214756012,1.4509718602895736,0.5862862068414688,0.298143607378006,2,0.5099259443649262,0.0009864612609948615,2.3216239010358404,0.8896214946144905,0.5177668349844822,0.3831893246005813,0.22301925594127017
0.5388913559913635,1.1264803051948546,0.5853921520709991,1.394827584028244,0.5632401525974273,0.2926960760354996,3,0.49555082090487523,0.0009760176929846252,3.4409558177424366,2.581535477509351,0.5368628893944383,0.750237903142581,0.1560214422475981
0.5547898808121681,1.1329272323846817,0.5874864262342453,1.4149966979026793,0.5664636161923409,0.29374321311712265,4,0.5090337784760408,0.0009627009709305305,8.06256437500035,5.508291654360503,0.8309450581842125,0.6831935099259612,0.10306213005389818
0.52414638787508,1.093339899778366,0.5769391185045243,1.359285905957222,0.546669949889183,0.28846955925226214,5,0.5392702535559678,0.0009465931968523002,2.017890774536899,1.7112297217942294,0.2584968394910117,0.8480289138479026,0.12810249333259185
0.5007064330577851,1.0483408331871034,0.5777957159280777,1.3137747126817703,0.5241704165935517,0.28889785796403883,6,0.5125852598539264,0.0009277936805335052,3.935653507451486,2.656148831726575,0.518701288145137,0.6748939729317157,0.13179546602948278
0.49341482609510423,1.048538658618927,0.5741324013471604,1.3047503596544265,0.5242693293094635,0.2870662006735802,7,0.5897877223178427,0.0009064183272437243,2.3360167775742955,3.1366639827966947,0.30689100694011834,1.3427403488316492,0.13137363133957966
0.497830323278904,1.053407952785492,0.5736458468437194,1.3113572245836258,0.526703976392746,0.2868229234218597,8,0.5918245739482779,0.0008825989231440152,5.778707617262947,4.537459016880741,0.3179535515130597,0.7852030795477214,0.05502156754967586
0.4741594164073467,1.017899060845375,0.5690172427892685,1.267617569565773,0.5089495304226875,0.28450862139463423,9,0.5847888705031562,0.0008564823227814083,2.407242197219636,1.9967328748296884,0.33726951241482284,0.8294690401887747,0.14010618159002408
0.48766492992639543,1.036980054974556,0.5682229396700859,1.29026642203331,0.518490027487278,0.28411146983504293,10,0.5716750893627511,0.0008282295436817901,2.9298037149063467,2.1236013120404538,0.39459381756195483,0.724827162050457,0.13468268046570087
0.46637355893850324,1.0029937267303466,0.5606664857268333,1.248203661441803,0.5014968633651733,0.28033324286341665,11,0.612180841431762,0.0007980147736233119,9.97712547318347,4.086464397390275,0.6803422592740902,0.4095833422536259,0.06819020780110613
0.46149988561868666,0.9925967299938202,0.562259586751461,1.2389280420541764,0.4962983649969101,0.2811297933757305,12,0.5015960970908873,0.0007660242967108149,2.6375910654993633,1.9034843636097698,0.1711886568102358,0.7216753152177484,0.0649034109378989
0.44890392690896985,0.9704951000213623,0.5595875376462937,1.2139452469348908,0.48524755001068115,0.2797937688231468,13,0.5738550197148924,0.0007324553448723779,0.7185865471317803,1.3897203436694228,0.3528573551553158,1.933963764304322,0.4910436419436696
