L_task,L_aux,L_total,weighted_aux,epoch,val_QWK,learning_rate,gnorm_task,gnorm_aux,ratio_aux_over_task
0.6601042555272579,1.3159299170970917,1.3180692130327225,0.6579649585485459,0,0.381934981506716,0.0009984894935292329,0.9130636808087057,0.11772525381527851,0.12893432987172218
0.5820081314444542,1.2043501991033554,1.1841832321882249,0.6021750995516777,1,0.41106284035978713,0.0009939672868916176,4.996991383369841,1.5786171254744208,0.31591351762744935
0.5683255565166473,1.1835372817516328,1.1600941997766494,0.5917686408758164,2,0.42289348171701113,0.0009864612609948615,3.8046422961255684,1.4324737874960582,0.3765068240330525
0.5312806111574173,1.1175211197137833,1.0900411695241927,0.5587605598568917,3,0.3411595591758505,0.0009760176929846252,1.2970836775509593,1.1828465659619052,0.911927724042641
0.5475311616063118,1.1232171702384948,1.1091397517919541,0.5616085851192474,4,0.484401514162642,0.0009627009709305305,1.5892169888769077,1.0840264021689896,0.6821135249347329
0.517972569167614,1.0910195410251617,1.0634823346138,0.5455097705125809,5,0.4710068035703139,0.0009465931968523002,1.495695291325232,2.0106577821872498,1.3442963910154089
0.5149911397695541,1.057810641527176,1.0438964623212814,0.528905320763588,6,0.4635071626748203,0.0009277936805335052,1.73600046955329,1.3053082309776336,0.7519054596301562
0.5103335934877395,1.074353820681572,1.0475105035305023,0.537176910340786,7,0.58020394455639,0.0009064183272437243,3.1789372674252467,2.6735981027675786,0.84103518813161
0.5013986724615097,1.0620494866371155,1.032423416376114,0.5310247433185578,8,0.5490928495197438,0.0008825989231440152,2.1949450770243297,1.6291039838591568,0.7422071745265356
0.4996223358809948,1.0494848239421843,1.0243647462129593,0.5247424119710922,9,0.5181187355435621,0.0008564823227814083,3.907107776919667,3.476401906244986,0.8897635040376985
0.4702002517879009,1.0081986743211746,0.9742995914816857,0.5040993371605873,10,0.5313241575700047,0.0008282295436817901,1.4107896808220153,2.1252224766744194,1.506406309575592
0.469664548933506,1.0227314656972886,0.9810302805900574,0.5113657328486443,11,0.5573184599555965,0.0007980147736233119,0.9769949207512978,1.1363000737359796,1.163056275525136
0.4616166025400162,1.0025653487443924,0.9628992715477943,0.5012826743721962,12,0.5651402200922967,0.0007660242967108149,2.467379173882744,1.13274048089053,0.4590865047742194
0.43540048837661743,0.96197574198246,0.9163883569836616,0.48098787099123,13,0.5364682229420306,0.0007324553448723779,1.4932454245802087,1.653089116386201,1.1070444879152592
0.4096940127015114,0.9230245226621627,0.8712062758207321,0.46151226133108136,14,0.5867266318220492,0.000697514881858894,4.322635185958234,3.216520552471586,0.7441110373876146
0.42952489778399466,0.9429250919818878,0.9009874421358108,0.4714625459909439,15,0.5774773172033446,0.0006614183272437242,1.8059015681906194,1.5716262780475978,0.8702723923221639
0.41185373410582543,0.917840793132782,0.8707741314172744,0.458920396566391,16,0.5112306232205,0.0006243882282893936,4.71737549713506,2.3860986462122837,0.5058106245011449
0.43851017490029337,0.9647554272413253,0.9208878892660141,0.4823777136206627,17,0.5654191153727188,0.0005866528878697131,5.860309039651494,2.226803041548772,0.3799804799511388
0.4521265198290348,0.979704087972641,0.9419785645604134,0.4898520439863205,18,0.5756246423803166,0.000548444956906644,1.683900832589332,2.220929206355617,1.3189192400009073
0.41767483413219453,0.9173730874061584,0.8763613796234131,0.4586865437030792,19,0.5686401380351558,0.0005099999999999999,1.477906314379383,1.6783769979919465,1.1356450552122765
0.3963589234650135,0.901460000872612,0.8470889237523079,0.450730000436306,20,0.5423687719723602,0.00047155504309335594,4.868728576236644,4.770741777708939,0.9798742532073034
0.3995597843825817,0.8965852987766266,0.8478524309396743,0.4482926493883133,21,0.5984162895927603,0.00043334711213028693,3.203611285892395,3.2612529844876486,1.0179927255372985
0.3794669437408447,0.879821594953537,0.8193777406215668,0.4399107974767685,22,0.5830153711980813,0.0003956117717106063,0.8928269301792071,1.5822792775633205,1.772212759359451
0.38306667491793633,0.8760005491971969,0.8210669511556625,0.43800027459859847,23,0.614988263582756,0.0003585816727562757,1.7118747522368947,2.77814555106099,1.6228672964717814
0.3872136828303337,0.8761024355888367,0.8252649000287056,0.43805121779441836,24,0.5521472392638036,0.00032248511814110596,3.1432282016246926,2.113991813300329,0.672554354216991
0.38048154667019846,0.8676456087827682,0.8143043524026871,0.4338228043913841,25,0.5750708215297451,0.000287544655127622,1.8220071350644509,1.9018850390694335,1.0438406098789272
0.3599912813305855,0.8455608367919922,0.7827717009186744,0.4227804183959961,26,0.5610792829421548,0.000253975703289185,1.54205799947337,2.32054139981308,1.5048340598119985
0.353829163312912,0.8107565638422966,0.7592074424028397,0.4053782819211483,27,0.5695285595534971,0.00022198522637668816,5.051603038099282,4.917313121976106,0.9734163759285203
0.3581273011863232,0.836837357878685,0.7765459787845611,0.4184186789393425,28,0.5999766409717355,0.00019177045631821,2.623722827272741,2.154929739209218,0.8213252241469365
0.3603289240598679,0.8305465039610863,0.7756021749973298,0.41527325198054316,29,0.5360501567398119,0.00016351767721859168,4.199182689241157,2.858266644932448,0.6806721346646081
0.3495147359371185,0.8219236522912979,0.7604765596985817,0.41096182614564897,30,0.5779370952821461,0.0001374010768559848,4.256475812439452,2.813429046595523,0.6609761621041854
0.33715325251221656,0.7960700047016144,0.7351882535219193,0.3980350023508072,31,0.5969165587854537,0.00011358167275627576,2.8903294917598794,2.7930507734907426,0.9663433810759391
