L_task,L_aux,L_logit_KD,L_total,weighted_aux,weighted_logit_KD,epoch,val_QWK,learning_rate,gnorm_task,gnorm_aux,gnorm_logit_kd,ratio_aux_over_task,ratio_logit_kd_over_task
0.6776644715666771,1.3513029021024705,0.6265404886007309,1.6665861600637435,0.6756514510512353,0.31327024430036543,0,0.4390044879640963,0.0009984894935292329,1.6430250878390005,0.16296263013926662,0.2115534204702894,0.09918450506048224,0.12875848460021777
0.5742470255494118,1.2253574913740157,0.5954199171066284,1.4846357238292693,0.6126787456870079,0.2977099585533142,1,0.4497464956755144,0.0009939672868916176,1.4808399173883522,0.6651783825892997,0.2043750883505857,0.44918993253668205,0.13801295194083296
0.5502702245116233,1.1530647432804109,0.5905591407418251,1.422082172036171,0.5765323716402054,0.29527957037091257,2,0.5087581405793846,0.0009864612609948615,3.057815658813103,1.0572664427748446,0.5603835544020055,0.3457587247706177,0.18326270021768398
0.548174569606781,1.132540575861931,0.5878004175424576,1.408345069885254,0.5662702879309655,0.2939002087712288,3,0.551475015051174,0.0009760176929846252,2.0826350954858954,3.857714552019151,0.22401308751936347,1.8523237990086379,0.10756233197304275
0.5493918304145337,1.1262926560640336,0.5871617513895034,1.4061190372705459,0.5631463280320168,0.2935808756947517,4,0.46426433616664675,0.0009627009709305305,6.390269227686582,3.918223989572394,0.6291709775255583,0.6131547592073641,0.09845766353624072
0.5176083654165268,1.076208806037903,0.5782600420713425,1.34484279692173,0.5381044030189515,0.28913002103567126,5,0.5596406194585648,0.0009465931968523002,1.9847355845158312,1.3634609473902737,0.24695936068961502,0.6869735989153865,0.1244293510008588
0.5093897411227226,1.0674218815565109,0.5776939216256142,1.331947637796402,0.5337109407782554,0.2888469608128071,6,0.56575682382134,0.0009277936805335052,3.521864079777451,2.224284700972965,0.38906185673492577,0.6315646062960837,0.11047043495202429
0.49845537573099136,1.053629628419876,0.5750976860523224,1.312819030880928,0.526814814209938,0.2875488430261612,7,0.528995756718529,0.0009064183272437243,3.218679951013113,3.6025377420428915,0.41332170915760263,1.1192593848633368,0.12841342272241305
0.49826318144798276,1.0657490295171739,0.573146461546421,1.3177109259366988,0.5328745147585869,0.2865732307732105,8,0.5362413323060511,0.0008825989231440152,4.596203319715309,3.540214642551421,0.5085178841304926,0.7702476144529445,0.1106386834431838
0.48397610992193224,1.0415863597393036,0.572693546116352,1.2911160588264465,0.5207931798696518,0.286346773058176,9,0.5706455542021924,0.0008564823227814083,3.715626321724641,2.6228727117868234,0.5666852540180093,0.7059032541704553,0.15251405952872496
0.48431431874632835,1.0413109415769577,0.5703661435842514,1.2901528626680374,0.5206554707884788,0.2851830717921257,10,0.5591333132711405,0.0008282295436817901,0.8707096169517878,1.2290579490704887,0.1625673519060191,1.4115589458782136,0.18670673751731473
0.4728974378108978,1.022070990204811,0.5658061277866363,1.2668360006809234,0.5110354951024055,0.28290306389331815,11,0.5409158728336967,0.0007980147736233119,5.6396197911940735,3.1799015116618534,0.34303463504783754,0.563850335554017,0.06082584424990235
0.4813972720503807,1.0313986760377885,0.567831030189991,1.2810121273994446,0.5156993380188942,0.2839155150949955,12,0.5218170950388523,0.0007660242967108149,1.9668462445485182,1.5219245024053258,0.35860865037577655,0.773789261170579,0.18232673314944034
0.4626121574640274,0.9820530897378922,0.566784416437149,1.2370309180021286,0.4910265448689461,0.2833922082185745,13,0.5627980922098569,0.0007324553448723779,0.8002127397756224,1.097686943702812,0.1630174865366735,1.3717438990169049,0.203717684602701
0.4257355673611164,0.9407270509004593,0.5572589871287346,1.1747285848855973,0.47036352545022964,0.2786294935643673,14,0.5795333412294208,0.000697514881858894,3.6264532257552604,3.0565842451829726,0.49818380684264923,0.8428577607109203,0.1373749434583967
