epoch,stage,L_task,L_aux,weighted_aux,train_total_loss,val_QWK,learning_rate
0,warmup,0.6955231031775475,1.2355732065439224,0.37067196196317675,1.0661950799822808,0.6391520072169599,0.00027192549817311724
1,warmup,0.4423961439728737,1.058807145357132,0.3176421436071396,0.7600383019447327,0.6764529658478131,0.00019842549817311727
2,warmup,0.4058516962826252,1.01119668841362,0.303359006524086,0.7092107135057449,0.7010320537323214,0.00010757450182688273
3,warmup,0.4026732787489891,1.0050657111406327,0.3015197133421898,0.7041930019855499,0.7114969801553063,3.4074501826882735e-05
4,warmup,0.3960244053602219,1.0199757957458495,0.30599273872375493,0.7020171561837196,0.7180614192354404,5.999999999999999e-06
5,finetune,0.3951735016703606,0.9944820922613143,0.2983446276783943,0.6935181421041489,0.753708213415984,9.939672868916176e-06
6,finetune,0.35460859566926956,0.9350775736570358,0.28052327209711075,0.6351318791508674,0.7768460914254801,9.760176929846255e-06
7,finetune,0.34695962235331534,0.9296462786197662,0.27889388358592987,0.6258535122871399,0.7816294017469648,9.465931968523005e-06
8,finetune,0.3394992329180241,0.8821968865394593,0.26465906596183775,0.6041583070158958,0.7798742138364779,9.064183272437245e-06
9,finetune,0.32475844770669937,0.8544258236885071,0.25632774710655215,0.5810862067341804,0.791331847166779,8.564823227814084e-06
10,finetune,0.31460696950554845,0.8342282977700234,0.2502684893310069,0.5648754698038101,0.7847610848041326,7.98014773623312e-06
11,finetune,0.30646260544657705,0.830033078789711,0.2490099236369133,0.5554725390672683,0.7640723881425557,7.324553448723781e-06
12,finetune,0.3070833294093609,0.8208591264486312,0.24625773793458935,0.5533410754799842,0.771845456035849,6.614183272437245e-06
13,finetune,0.290588750988245,0.7926927974820137,0.23780783924460408,0.5283966028690338,0.794484221691859,5.866528878697134e-06
14,finetune,0.27788730546832086,0.7625883528590203,0.22877650585770606,0.5066638201475143,0.8108051292831616,5.100000000000002e-06
15,finetune,0.28413157306611536,0.7770315915346145,0.2331094774603844,0.517241059243679,0.8,4.333471121302872e-06
16,finetune,0.2789101728796959,0.7737928560376167,0.23213785681128501,0.511048042178154,0.7882371743647115,3.5858167275627596e-06
17,finetune,0.277390665858984,0.7797135388851166,0.23391406166553497,0.5113047406077385,0.8021038091696329,2.875446551276222e-06
18,finetune,0.26698199421167373,0.7410285118222236,0.2223085535466671,0.48929055690765383,0.7941048981361075,2.219852263766883e-06
19,finetune,0.2625759899616241,0.7366709390282631,0.2210012817084789,0.48357727885246277,0.779200706557739,1.6351767721859179e-06
20,finetune,0.2649288665503263,0.7516952228546142,0.2255085668563843,0.4904374393820763,0.8008176957752384,1.1358167275627583e-06
21,finetune,0.2514141295105219,0.7304787018895149,0.21914361056685447,0.4705577491223812,0.8006818056853797,7.34068031476998e-07
22,finetune,0.2615660998225212,0.7539578020572663,0.22618734061717982,0.4877534502744675,0.7918765576117504,4.3982307015374775e-07
