L_task,L_total,epoch,val_QWK,learning_rate
0.6703912639617919,0.6703912639617919,0,0.3697829716193657,0.0009984894935292329
0.602031380534172,0.602031380534172,1,0.3330165923543601,0.0009939672868916176
0.5872468042373657,0.5872468042373657,2,0.48316804022908233,0.0009864612609948615
0.5681663370132446,0.5681663370132446,3,0.5326460481099656,0.0009760176929846252
0.560551483631134,0.560551483631134,4,0.529755408615266,0.0009627009709305305
0.5485391783714294,0.5485391783714294,5,0.5098039215686274,0.0009465931968523002
0.5374524021148681,0.5374524021148681,6,0.5128391914041159,0.0009277936805335052
0.5266923931241035,0.5266923931241035,7,0.47717312919509625,0.0009064183272437243
0.5038360711932183,0.5038360711932183,8,0.5684543418105152,0.0008825989231440152
0.49414582520723344,0.49414582520723344,9,0.5510548032777358,0.0008564823227814083
0.4930590125918388,0.4930590125918388,10,0.5121173469387755,0.0008282295436817901
0.4857844027876854,0.4857844027876854,11,0.5744884299101167,0.0007980147736233119
0.47284219712018966,0.47284219712018966,12,0.526540410776207,0.0007660242967108149
0.49034369707107545,0.49034369707107545,13,0.5746457959537214,0.0007324553448723779
0.46157864660024644,0.46157864660024644,14,0.5695134635386572,0.000697514881858894
0.49283736988902094,0.49283736988902094,15,0.572269577482063,0.0006614183272437242
0.46751528918743135,0.46751528918743135,16,0.5288498773718859,0.0006243882282893936
0.4843054834008217,0.4843054834008217,17,0.6314759312496178,0.0005866528878697131
0.4371841110289097,0.4371841110289097,18,0.5644806468874487,0.000548444956906644
0.4498884616792202,0.4498884616792202,19,0.6209303656233907,0.0005099999999999999
0.43842397451400755,0.43842397451400755,20,0.5742092457420924,0.00047155504309335594
0.4176605355739593,0.4176605355739593,21,0.5684927552964267,0.00043334711213028693
0.4275319768488407,0.4275319768488407,22,0.49094316052467213,0.0003956117717106063
0.42639744058251383,0.42639744058251383,23,0.5965100351378716,0.0003585816727562757
0.40138584285974505,0.40138584285974505,24,0.5654658086245263,0.00032248511814110596
0.4219834047555924,0.4219834047555924,25,0.5316232868100088,0.000287544655127622
