epoch,val_QWK,val_QWK_fakequant,train_total_loss,learning_rate
0,0.6136675824175823,0.6136675824175823,0.8625099796056748,3e-05
1,0.6168417427242983,0.6168417427242983,0.8160286185145378,3e-05
2,0.6764286497751453,0.6764286497751453,0.8331570988893509,3e-05
3,0.6518186003683242,0.6518186003683242,0.8403964406251907,3e-05
4,0.6680114304925198,0.6680114304925198,0.8359114050865173,3e-05
5,0.6867582933156704,0.6867582933156704,0.8231214544177056,3e-05
6,0.6563060370591751,0.6563060370591751,0.8422750994563103,3e-05
7,0.6385814321210752,0.6385814321210752,0.8589839866757393,3e-05
8,0.6599289811526905,0.6599289811526905,0.8632621949911118,3e-05
9,0.6620534277438043,0.6620534277438043,0.8121928775310516,3e-05
