condition,QWK_mean,QWK_sd,n,MacroF1,SER,MAE,simplicity
dual_csd,0.6489746580197203,0.02192174591228044,5,0.32900598397333336,0.21400000000000002,0.72,3
dual_featkd,0.6476857851236615,0.031871216439883915,5,0.32304352915306095,0.22599999999999998,0.719,2
dual_logitkd,0.6308246910676398,0.02855974144299381,5,0.31228285532438654,0.213,0.734,1
dual_no_distill,0.6227673988969432,0.029517403376577704,5,0.311492788385824,0.231,0.783,0
