alpha,tau_kd,run_name,n_seeds,val_QWK_mean,val_QWK_sd,val_MacroF1_mean,val_SER_mean,val_MAE_mean
0.5,2.0,logitkd_alpha0.5_tau_kd2.0,3,0.6484433816822807,0.014896546416066121,0.35299407050121295,0.22833333333333336,0.7266666666666667
0.25,2.0,logitkd_alpha0.25_tau_kd2.0,3,0.6482165784666152,0.01520697110187833,0.3451757043760444,0.21666666666666667,0.6983333333333333
1.0,2.0,logitkd_alpha1.0_tau_kd2.0,3,0.6300291539524644,0.038690051784315255,0.29874762647190894,0.2333333333333333,0.7483333333333334
0.5,4.0,logitkd_alpha0.5_tau_kd4.0,3,0.6290932578623823,0.027347710983164845,0.3067484327013579,0.21666666666666667,0.7133333333333333
