gamma_feat,run_name,seed,val_QWK,val_MacroF1
0.1,featkd_gamma_feat0.1,42,0.6095480726628268,0.26109846978033685
0.1,featkd_gamma_feat0.1,123,0.6667369197534116,0.3295590872687647
0.1,featkd_gamma_feat0.1,2026,0.5929583259860107,0.2930484843122551
0.5,featkd_gamma_feat0.5,42,0.6441750131787032,0.29221043845436245
0.5,featkd_gamma_feat0.5,123,0.6422893481717011,0.3120455729625479
0.5,featkd_gamma_feat0.5,2026,0.5786771368166717,0.3057956703556669
1.0,featkd_gamma_feat1.0,42,0.6347234545992311,0.3272431791365873
1.0,featkd_gamma_feat1.0,123,0.6755040044186689,0.35360929500979654
1.0,featkd_gamma_feat1.0,2026,0.6206237304337436,0.31526243685247024
2.0,featkd_gamma_feat2.0,42,0.6601671309192201,0.34512385321100914
2.0,featkd_gamma_feat2.0,123,0.6739069585176063,0.35222769903204687
2.0,featkd_gamma_feat2.0,2026,0.6286980476703797,0.32596335955917854
