condition,seed,quantization,subset,n_patients,metric,point,ci_low,ci_high
fp32_ft_control,3407,FP32,setC,100,SevereErrorRate,0.17,0.115,0.23
fp32_ft_control,8888,FP32,setC,100,QWK,0.6906515580736544,0.5889060529195199,0.7711975904074958
fp32_ft_control,8888,FP32,setC,100,Accuracy,0.54,0.465,0.615
fp32_ft_control,8888,FP32,setC,100,MacroF1,0.3620909043310527,0.2905089191180626,0.4311495717339428
fp32_ft_control,8888,FP32,setC,100,MAE,0.715,0.585,0.855
fp32_ft_control,8888,FP32,setC,100,SevereErrorRate,0.195,0.14,0.255
ptq_int8,42,PTQ_INT8,setC,100,QWK,0.6325169652710921,0.5194603810457049,0.7262288400227245
ptq_int8,42,PTQ_INT8,setC,100,Accuracy,0.495,0.415,0.575
ptq_int8,42,PTQ_INT8,setC,100,MacroF1,0.33721320204404387,0.2653830208085049,0.4045867885872862
ptq_int8,42,PTQ_INT8,setC,100,MAE,0.785,0.645,0.93
ptq_int8,42,PTQ_INT8,setC,100,SevereErrorRate,0.19,0.14,0.245
ptq_int8,123,PTQ_INT8,setC,100,QWK,0.6419806188801458,0.5205948406828176,0.7409329651435472
ptq_int8,123,PTQ_INT8,setC,100,Accuracy,0.525,0.45,0.6
ptq_int8,123,PTQ_INT8,setC,100,MacroF1,0.33203496434589147,0.26576935671884944,0.3904067078265206
ptq_int8,123,PTQ_INT8,setC,100,MAE,0.735,0.595,0.88
ptq_int8,123,PTQ_INT8,setC,100,SevereErrorRate,0.195,0.14,0.255
ptq_int8,2026,PTQ_INT8,setC,100,QWK,0.6738094043257892,0.5535007083430551,0.7726295718051156
ptq_int8,2026,PTQ_INT8,setC,100,Accuracy,0.57,0.495,0.645
ptq_int8,2026,PTQ_INT8,setC,100,MacroF1,0.3818551164633027,0.30540333977442763,0.4529276770672507
ptq_int8,2026,PTQ_INT8,setC,100,MAE,0.66,0.525,0.8
ptq_int8,2026,PTQ_INT8,setC,100,SevereErrorRate,0.155,0.105,0.21
ptq_int8,3407,PTQ_INT8,setC,100,QWK,0.7197255243065623,0.6155914963713518,0.8014576098656403
ptq_int8,3407,PTQ_INT8,setC,100,Accuracy,0.57,0.495,0.64
ptq_int8,3407,PTQ_INT8,setC,100,MacroF1,0.3914854978242402,0.3247592731829574,0.4510919066906393
ptq_int8,3407,PTQ_INT8,setC,100,MAE,0.63,0.505,0.76
ptq_int8,3407,PTQ_INT8,setC,100,SevereErrorRate,0.15,0.1,0.2
ptq_int8,8888,PTQ_INT8,setC,100,QWK,0.6962858034621018,0.5812516356959619,0.7920444674772439
ptq_int8,8888,PTQ_INT8,setC,100,Accuracy,0.595,0.52,0.67
ptq_int8,8888,PTQ_INT8,setC,100,MacroF1,0.37512548262548256,0.3060107159052381,0.43624577022954225
ptq_int8,8888,PTQ_INT8,setC,100,MAE,0.635,0.49,0.785
ptq_int8,8888,PTQ_INT8,setC,100,SevereErrorRate,0.165,0.11,0.225
ft_ptq_int8,42,FT_PTQ_INT8,setC,100,QWK,0.6436370617455784,0.5295418423170519,0.7414202648376822
ft_ptq_int8,42,FT_PTQ_INT8,setC,100,Accuracy,0.555,0.48,0.63
ft_ptq_int8,42,FT_PTQ_INT8,setC,100,MacroF1,0.3551404792084162,0.28599484405611747,0.4204452858771824
ft_ptq_int8,42,FT_PTQ_INT8,setC,100,MAE,0.715,0.575,0.86
ft_ptq_int8,42,FT_PTQ_INT8,setC,100,SevereErrorRate,0.175,0.125,0.23
ft_ptq_int8,123,FT_PTQ_INT8,setC,100,QWK,0.6424948065123919,0.5176721314591549,0.742356762060556
ft_ptq_int8,123,FT_PTQ_INT8,setC,100,Accuracy,0.57,0.49,0.645
ft_ptq_int8,123,FT_PTQ_INT8,setC,100,MacroF1,0.4173983858582237,0.32462833262298396,0.5042253386383821
ft_ptq_int8,123,FT_PTQ_INT8,setC,100,MAE,0.72,0.575,0.875
ft_ptq_int8,123,FT_PTQ_INT8,setC,100,SevereErrorRate,0.215,0.16,0.275
ft_ptq_int8,2026,FT_PTQ_INT8,setC,100,QWK,0.609071484071484,0.4729157300192033,0.7174062308670809
ft_ptq_int8,2026,FT_PTQ_INT8,setC,100,Accuracy,0.49,0.42,0.56
ft_ptq_int8,2026,FT_PTQ_INT8,setC,100,MacroF1,0.35075061050061046,0.27680332664359647,0.4210341784795978
ft_ptq_int8,2026,FT_PTQ_INT8,setC,100,MAE,0.8,0.66,0.95
ft_ptq_int8,2026,FT_PTQ_INT8,setC,100,SevereErrorRate,0.195,0.135,0.255
ft_ptq_int8,3407,FT_PTQ_INT8,setC,100,QWK,0.6934479107674882,0.5805227379933018,0.7853303989865674
ft_ptq_int8,3407,FT_PTQ_INT8,setC,100,Accuracy,0.59,0.515,0.665
ft_ptq_int8,3407,FT_PTQ_INT8,setC,100,MacroF1,0.4034234199426897,0.32105983336601474,0.479852833305096
