check,reported,recomputed,abs_diff,match
table_mean_QWK::qat_int8,0.5956,0.5956,0.0,True
ext_supp_QWK::setA__1disc::best_fp32::seed123,0.64816252,0.64816252,0.0,True
ext_supp_QWK::setA__1disc::best_fp32::seed2026,0.6533775,0.6533775,0.0,True
ext_supp_QWK::setA__1disc::best_fp32::seed3407,0.69695471,0.69695471,0.0,True
ext_supp_QWK::setA__1disc::best_fp32::seed42,0.65076339,0.65076339,0.0,True
ext_supp_QWK::setA__1disc::best_fp32::seed8888,0.65978608,0.65978608,0.0,True
ext_supp_QWK::setA__1disc::csd_fp32::seed123,0.64816252,0.64816252,0.0,True
ext_supp_QWK::setA__1disc::csd_fp32::seed2026,0.6533775,0.6533775,0.0,True
ext_supp_QWK::setA__1disc::csd_fp32::seed3407,0.69695471,0.69695471,0.0,True
ext_supp_QWK::setA__1disc::csd_fp32::seed42,0.65076339,0.65076339,0.0,True
ext_supp_QWK::setA__1disc::csd_fp32::seed8888,0.65978608,0.65978608,0.0,True
ext_supp_QWK::setA__1disc::fp32_ft_control::seed123,0.63990396,0.63990396,0.0,True
ext_supp_QWK::setA__1disc::fp32_ft_control::seed2026,0.66662511,0.66662511,0.0,True
ext_supp_QWK::setA__1disc::fp32_ft_control::seed3407,0.68138608,0.68138608,0.0,True
ext_supp_QWK::setA__1disc::fp32_ft_control::seed42,0.66967622,0.66967622,0.0,True
ext_supp_QWK::setA__1disc::fp32_ft_control::seed8888,0.68091484,0.68091484,0.0,True
ext_supp_QWK::setA__1disc::ft_ptq_int8::seed123,0.63195774,0.63195774,0.0,True
ext_supp_QWK::setA__1disc::ft_ptq_int8::seed2026,0.6727112,0.6727112,0.0,True
ext_supp_QWK::setA__1disc::ft_ptq_int8::seed3407,0.66703985,0.66703985,0.0,True
ext_supp_QWK::setA__1disc::ft_ptq_int8::seed42,0.67128788,0.67128788,0.0,True
ext_supp_QWK::setA__1disc::ft_ptq_int8::seed8888,0.66937502,0.66937502,0.0,True
ext_supp_QWK::setA__1disc::ptq_int8::seed123,0.6245925,0.6245925,0.0,True
ext_supp_QWK::setA__1disc::ptq_int8::seed2026,0.6678584,0.6678584,0.0,True
ext_supp_QWK::setA__1disc::ptq_int8::seed3407,0.67903849,0.67903849,0.0,True
ext_supp_QWK::setA__1disc::ptq_int8::seed42,0.64098868,0.64098868,0.0,True
ext_supp_QWK::setA__1disc::ptq_int8::seed8888,0.67743388,0.67743388,0.0,True
ext_supp_QWK::setA__1disc::qat_int8::seed123,0.62864117,0.62864117,0.0,True
ext_supp_QWK::setA__1disc::qat_int8::seed2026,0.61983857,0.61983857,0.0,True
