resolution,sampling,n_seeds,val_QWK,val_MacroF1,val_Recall_Grade1,val_SER,val_AdjacentAccuracy
224,standard,3,0.5549132291211661,0.2635873797546339,0.0,0.265,0.735
384,standard,3,0.64914857422091,0.3105852810070516,0.05555555555555555,0.2183333333333333,0.7816666666666667
224,balanced,3,0.5521950727434203,0.27284289513691046,0.0925925925925926,0.25666666666666665,0.7433333333333333
384,balanced,3,0.5797529990343026,0.29637414503791404,0.037037037037037035,0.25166666666666665,0.7483333333333334
