condition,epoch,ratio
dual_csd,0,0.1770234203995696
dual_csd,1,0.2196795858727443
dual_csd,2,0.123278608906055
dual_csd,3,0.3081649462666708
dual_csd,4,0.1410914645843529
dual_csd,5,0.1704842149018662
dual_csd,6,0.1255328089972905
dual_csd,7,0.16018280640131
dual_csd,8,0.0993156213364455
dual_csd,9,0.1373301518271377
dual_csd,10,0.1567758697318054
dual_csd,11,0.178504057167658
dual_csd,12,0.0569664066599125
dual_csd,13,0.1072026481920494
dual_csd,14,0.3799616475431884
dual_csd,15,0.1491961693511126
dual_csd,16,0.1264471607920807
dual_csd,17,0.0487070435278113
dual_csd,18,0.13262281397529
dual_csd,19,0.1252351101842371
dual_csd,20,0.1862187087563935
dual_csd,21,0.2013707645987334
dual_csd,22,0.1393142576138577
dual_csd,23,0.1640141267284073
dual_csd,24,0.1858941360976791
dual_csd,25,0.0703910163584998
dual_csd,26,0.1997847367366549
dual_csd,27,0.0705735616472556
dual_csd,28,0.2747888518746961
