metric,condition,value
CheckpointSize_MB,teacher,154.0890407562256
CheckpointSize_MB,best_fp32,1.2934738159179688
CheckpointSize_MB,fp32_ft_control,1.3805830001831054
CheckpointSize_MB,ptq_int8,0.9507469177246094
CheckpointSize_MB,ft_ptq_int8,0.9509395599365235
CheckpointSize_MB,qat_int8,0.9507469177246094
Latency_median_ms,teacher,627.609693499835
Latency_median_ms,best_fp32,32.49019809936726
Latency_median_ms,fp32_ft_control,57.17713960020774
Latency_median_ms,ptq_int8,11.237796199748118
Latency_median_ms,ft_ptq_int8,11.259183700167341
Latency_median_ms,qat_int8,11.346810599934543
